county_code,score
"01005",-1.147
"01023",-1.558
"01035",-0.894
"01051",-1.295
"01065",-1.294
"01109",-1.404
"01113",-1.1
"01117",-1.05
"02016",-1.241
"04015",-0.066
"05011",-1.49
"05015",-0.315
"05019",-1.507
"05025",-1.424
"05063",-1.289
"05067",-1.488
"05091",-1.336
"05139",-1.607
"06001",0.63
"06003",-0.547
"06023",1.782
"06033",0.689
"06037",0.538
"06057",-0.269
"06081",0.454
"06085",0.326
"06115",-0.145
"08013",-0.192
"08029",0.059
"08059",-0.172
"08091",-0.368
"09009",0.8
"11001",0.396
"12009",-0.271
"12039",-0.931
"12055",-0.148
"12065",-1.104
"12073",-0.902
"12107",-0.16
"12117",-0.192
"12123",-0.707
"12133",-0.911
"13009",-1.006
"13013",-0.188
"13027",-1
"13073",-1.334
"13103",0.395
"13149",2.014
"13179",0.641
"13189",-1.334
"13205",-1.163
"13229",-0.039
"13267",0.09
"13291",2.077
"13305",0.313
"13319",-1.194
"15007",0.379
"16015",-0.509
"16025",-0.483
"16033",0.415
"16039",-0.19
"16041",-0.568
"16043",0.239
"16061",-0.315
"16085",-0.651
"17003",-0.278
"17031",0.408
"17043",0.9
"17097",1.318
"17115",-0.435
"17161",0.148
"17197",-0.021
"18027",1.389
"18061",-0.219
"18123",-0.604
"18147",-0.357
"18157",0.362
"19041",1.269
"19045",1.146
"19111",0.059
"19135",-0.666
"20025",-1.144
"20067",-0.964
"20095",2.872
"20199",-1.602
"21007",-0.156
"21017",-0.422
"21031",-1.269
"21065",-0.289
"21069",-0.114
"21099",-0.906
"21125",-0.723
"21127",-0.919
"21131",-1.055
"21151",-0.536
"21179",-0.357
"21189",-0.27
"21195",-1.212
"21217",-0.554
"21239",-0.918
"22011",-1.194
"22013",-1.561
"22021",-1.324
"22029",-1.295
"22033",-0.895
"22069",-1.443
"22075",-0.643
"22077",-0.793
"22083",-1.384
"22087",-0.28
"22099",-0.684
"23015",5.338
"24003",0.517
"24033",0.464
"24043",0.19
"25011",1.437
"25017",0.458
"26099",3.047
"26135",1.085
"26147",3.572
"26153",0.268
"27053",1.124
"27077",-0.072
"27089",-0.535
"27101",2.455
"27129",0.129
"27139",1.587
"28007",-0.82
"28105",-1.487
"28143",-1.427
"28163",-0.633
"29023",-0.711
"29029",0.603
"29031",-0.391
"29033",2.173
"29157",-0.339
"29189",-0.915
"29199",-0.793
"29207",-0.553
"30013",-0.572
"30015",-1.07
"30023",-0.17
"30029",-0.781
"30047",-0.401
"30057",0.591
"30077",0.089
"30087",-1.341
"30105",-1.327
"31059",-0.743
"31113",0.936
"31171",0.936
"34007",0.135
"34013",0.311
"34019",0.346
"34023",0.108
"34041",0.399
"35021",-0.867
"35051",-1.172
"36013",-0.034
"36019",4.433
"36029",0.008
"36043",0.719
"36053",0.259
"36065",0.258
"36077",0.411
"36081",0.24
"36115",1.808
"37027",0.221
"37055",-0.6
"37059",0.205
"37069",0.561
"37083",0.035
"37087",0.545
"37093",-0.012
"37111",0.301
"37121",0.532
"37127",0.578
"37155",-0.135
"37175",1.436
"37199",0.405
"38037",-0.823
"38085",-0.7
"38099",-1.292
"38105",-1.141
"39035",0.238
"39039",1.321
"39043",-0.167
"39125",1.242
"40065",-1.524
"40079",-0.724
"40145",0.673
"41005",1.418
"41021",1.101
"41035",1.136
"41039",1.9
"41043",1.127
"41045",-0.511
"41051",1.504
"41055",1.003
"42035",-0.08
"42059",-0.083
"42063",0.637
"42067",0.226
"42091",0.134
"42111",0.771
"45005",-0.714
"45021",-0.202
"45025",-0.272
"45045",0.145
"45049",-0.428
"45053",0.496
"45063",-1.005
"45091",-0.26
"46093",-0.982
"46095",-1.347
"46103",-1.042
"47005",-0.392
"47013",-0.699
"47019",0.393
"47029",0.047
"47033",-0.641
"47049",-0.757
"47081",0.071
"47097",-0.733
"47121",0.016
"47149",-0.126
"47159",-0.387
"48007",-0.841
"48025",-0.805
"48035",-0.763
"48067",-1.043
"48083",-1.035
"48091",1.096
"48103",-1.034
"48139",0.007
"48151",-1.357
"48167",-0.772
"48213",0.115
"48241",-1.061
"48245",-0.778
"48261",-1.11
"48333",-0.579
"48347",-0.791
"48361",-1.002
"48371",-1.171
"48403",-1.343
"48427",-1.11
"48457",-1.18
"48469",-0.216
"48471",3.728
"48475",-1.034
"48477",3.773
"48479",-1.065
"48499",-0.327
"49001",-0.71
"49003",-0.303
"49025",-1.034
"49029",-0.969
"49035",-0.884
"49043",-0.375
"51001",-0.694
"51015",1.886
"51037",0.112
"51053",-0.593
"51069",-0.219
"51109",1.8
"51125",-0.26
"51145",-0.495
"51161",-0.227
"51185",-0.424
"51790",1.886
"53005",0.697
"53007",1.25
"53009",0.887
"53015",1.323
"53037",1.344
"53043",1.119
"53065",0.681
"54005",4.483
"54017",1.754
"54039",5.524
"54045",-0.948
"54047",-0.732
"54067",6.084
"54081",4.439
"54107",1.795
"55113",4.24
"56029",0.083
"56039",0.003
"56045",-1.547
"60010",-0.364
"60020",-0.364
"69100",-1.179
"69110",-1.179
"69120",-1.179
"72023",-1.677
"72037",-1.677
"72039",-1.677
"72053",-1.677
"72113",-1.677
"72115",-1.677
"78010",-1.677
"78020",-1.677
"01049",-0.474
"01069",-1.253
"01087",-1.055
"01091",-1.658
"01095",-0.465
"01101",-1.325
"01115",-0.892
"01119",-1.509
"01121",-1.237
"01131",-1.631
"02105",-0.992
"02240",-0.992
"04005",-0.47
"04009",-0.815
"04012",0.521
"04013",-0.242
"04027",0.464
"05003",-1.384
"05007",0.68
"05061",-1.186
"05075",-1.44
"05093",-0.818
"05095",-1.481
"05103",-1.677
"05117",-1.326
"05131",-1.047
"05133",-1.025
"05147",-1.305
"06045",0.963
"06051",-0.659
"06065",1.014
"06069",0.265
"06079",0.333
"06083",0.525
"06101",0.027
"06107",-0.109
"08019",0.364
"08023",-0.967
"08031",-0.349
"08055",-1.08
"19027",-0.958
"19075",0.084
"19137",-0.815
"19157",0.484
"19163",0.366
"20017",1.794
"20055",-1.144
"20143",-1.172
"21005",-0.745
"21011",-0.558
"21025",-0.573
"21029",-0.353
"21043",-0.433
"21049",-0.494
"21071",-1
"21085",-1.32
"21095",-0.954
"21105",-0.907
"21109",-0.161
"21119",-0.956
"21121",-0.82
"21135",0.047
"21153",-1.059
"21159",-0.928
"21167",-0.511
"21177",-1.369
"21181",-0.512
"21193",-1
"21231",-0.423
"22035",-1.256
"22039",-0.865
"22053",-0.787
"22055",-0.795
"22067",-1.384
"22079",-1.255
"22103",-0.994
"22111",-1.384
"22127",-1.452
"23007",5.392
"23017",5.407
"23027",5.256
"23031",1.768
"24001",0.396
"24005",0.214
"24017",0.221
"24021",0.289
"24031",0.269
"24041",0.323
"24045",-0.21
"25005",0.639
"25023",0.583
"25025",0.672
"26033",-0.205
"26063",2.583
"26083",-0.172
"26097",0.393
"26115",0.854
"08093",0.128
"08105",-0.828
"08113",-0.368
"09001",0.508
"09007",0.921
"10005",-0.064
"12001",-0.166
"12017",-0.049
"12033",-0.331
"12041",-0.46
"12047",-0.856
"12071",0
"12086",-0.073
"12093",-0.157
"12097",-0.273
"13021",1.669
"13029",0.477
"13039",-0.79
"13051",0.487
"13077",2.142
"13133",-0.899
"13137",2.004
"13143",-0.59
"13157",-0.176
"13163",-1.203
"13171",1.955
"13181",-1.275
"13185",-0.862
"13195",-0.559
"13221",-0.922
"13237",-0.833
"13245",-1.313
"13251",0.367
"13269",1.711
"13283",-0.161
"51007",-0.574
"13303",-1.339
"13309",0.101
"13313",-0.304
"13317",-0.994
"15001",0.736
"16005",-0.7
"16073",0.121
"16077",-0.542
"16081",0.085
"16083",-0.384
"17017",-0.297
"17027",0.545
"17047",0.711
"17109",-0.115
"17129",-0.744
"17175",-0.68
"17185",1.638
"18009",0.161
"18035",-0.197
"18067",0.546
"18083",1.305
"18159",0.535
"18179",0.597
"35055",-0.613
"36025",0.502
"36105",0.571
"36119",0.373
"36123",0.292
"37013",-0.418
"37017",-0.201
"37023",0.282
"37057",-0.062
"37061",-0.09
"37065",-0.154
"37075",2.26
"37085",0.173
"37089",0.439
"37119",-0.128
"37129",-0.12
"37133",-0.005
"37137",-0.297
"37143",-0.838
"37149",0.242
"37153",-0.128
"37161",0.235
"37167",-0.124
"38005",-1.131
"38033",-1.245
"38053",-1.141
"38059",-0.823
"38067",-1.292
"38071",-1.558
"38077",0.711
"39061",1.125
"39095",0.337
"39137",0.616
"39175",-0.183
"40013",-0.843
"40027",-0.713
"40057",-1.61
"40067",-0.97
"40075",-1.301
"40087",-0.647
"40095",-0.763
"40125",-0.893
"40135",-0.36
"27011",0.342
"27027",0.974
"27031",-0.437
"27061",0.125
"27073",-0.345
"27075",-0.115
"27085",1.246
"27097",2.317
"27127",-0.269
"27171",1.683
"28011",-1.086
"28029",0.449
"28039",-0.558
"28055",-0.587
"28083",-1.086
"28087",-1.337
"28103",-1.39
"28121",0.896
"28141",-0.82
"28149",0.751
"28151",-0.899
"29041",1.907
"29069",-0.718
"29099",-0.957
"29113",-0.028
"29159",-0.261
"29183",-0.3
"29195",2.201
"29201",-0.398
"30011",-1.501
"30027",-1.404
"30031",0.257
"30045",-0.788
"30049",-0.184
"30055",-1.327
"30059",-0.755
"30073",-0.535
"30085",-1.327
"30099",-0.229
"31069",-1.576
"31103",-1.677
"31151",-1.278
"32001",-0.639
"32015",-0.623
"32027",-0.328
"33007",5.523
"33015",0.867
"33017",2.097
"34001",0.016
"34015",0.072
"34021",0.108
"34029",0.02
"35031",-0.474
"35039",-0.34
"48425",-0.621
"48443",-1.023
"48449",-0.329
"48453",1.411
"48459",-0.829
"48473",3.941
"48491",4.689
"49045",-0.43
"49047",-0.415
"49051",-0.777
"50017",4.762
"51003",1.817
"51009",-0.457
"51017",-0.083
"51023",-0.131
"51033",-0.654
"51047",2.001
"51073",-0.7
"51077",-0.03
"51095",-0.584
"51097",-0.619
"51107",0.539
"51111",-0.024
"51121",-0.286
"51127",-0.434
"51139",2.201
"51163",-0.933
"51175",-0.667
"51179",-0.123
"51191",-0.145
"51195",-0.772
"53049",0.884
"53057",1.5
"53061",1.551
"53077",0.914
"54003",0.124
"54007",6.972
"54019",5.178
"54027",0.43
"54037",-0.121
"54041",7.027
"54043",-0.594
"54057",0.208
"54065",0.476
"54071",0.422
"54075",5.558
"54093",1.132
"54099",-0.624
"55007",-0.051
"55023",0.651
"55051",-0.529
"55057",2.786
"55107",4.954
"55121",5.517
"56003",-0.306
"56013",0.163
"01041",-1.553
"01071",-0.437
"02100",-0.992
"04001",-0.592
"05001",-1.481
"05017",-1.314
"05029",-0.997
"05041",-1.607
"05145",-1.326
"06007",0.292
"06095",0.402
"08035",-0.493
"08051",-0.282
"12079",-0.822
"12125",-0.444
"13001",0.182
"13049",-0.79
"13079",1.579
"13107",-0.026
"41007",1.39
"41017",0.601
"41019",1.7
"42003",-0.011
"42033",0.324
"42041",0.22
"42045",0.008
"42051",0.684
"42061",0.66
"42071",0.038
"42089",0.371
"42099",0.194
"42127",0.254
"42133",0.1
"44009",0.695
"45003",-1.061
"45007",-0.79
"45017",-1.041
"45035",-0.474
"45041",-0.558
"45051",-0.477
"45055",-0.474
"45069",-0.256
"45073",0.963
"45079",-0.755
"45083",-0.088
"46009",-1.071
"46041",-1.21
"46057",-1.348
"46075",-1.224
"46127",2.7
"47003",-0.099
"47021",-0.353
"47031",-0.551
"47035",-0.495
"47037",-0.465
"47059",-0.194
"47065",-0.532
"47089",-0.255
"47107",0.322
"47123",2.178
"47127",-0.361
"47143",-0.576
"47155",0.839
"47157",-1.351
"47165",-0.565
"47185",-0.652
"47189",-0.213
"48005",-0.945
"48029",0.889
"48033",-1.072
"48037",-0.956
"48051",3.892
"48061",-1.11
"48087",-1.677
"48105",-0.883
"48119",-0.481
"48185",3.816
"48211",-1.677
"48223",-0.067
"48225",3.912
"48229",-1.263
"48239",-0.476
"48263",-1.454
"48311",-1.089
"48315",-0.928
"48321",-0.236
"48339",-0.676
"48349",4.309
"48373",-1.136
"48377",-1.086
"48383",-0.952
"48407",-0.835
"55001",2.647
"55029",0.104
"56025",-0.769
"72097",-1.677
"72141",-1.677
"72151",-1.677
"02195",-0.563
"05081",-1.141
"06009",-0.361
"08097",-0.186
"13127",0.424
"16049",-0.492
"18125",1.78
"21055",0.008
"22017",-1.371
"29019",-0.276
"30005",-1.494
"36063",0.146
"40089",-1.041
"41023",0.48
"44005",0.592
"46117",-1.165
"47091",0.365
"48313",3.625
"51117",0.254
"53027",0.732
"54059",-0.989
"02170",-1.241
"20071",-1.602
"21067",-0.385
"22043",-1.322
"08057",0.594
"10001",-0.094
"12075",-0.15
"13075",-1.015
"37051",-0.125
"37139",-0.795
"27103",1.891
"28089",0.865
"30007",-0.481
"30093",-0.179
"51087",-0.455
"51199",-0.619
"54095",1.246
"42031",0.428
"42113",0.08
"45061",-0.576
"47045",-0.871
"48343",-0.729
"01025",-0.965
"01047",-1.522
"05073",-1.497
"06011",0.517
"06053",0.314
"06099",0.082
"08111",-0.602
"12045",-0.831
"12121",-0.486
"13261",-1.14
"13311",2.064
"16029",0.409
"16079",-0.261
"18021",1.697
"18175",0.036
"19035",2.804
"20033",-1.602
"20149",-0.431
"21027",-0.848
"21147",-0.711
"22005",-0.678
"22025",-1.359
"22037",-0.94
"22109",-0.503
"22123",-1.314
"24029",0.061
"24047",-0.355
"25027",0.369
"26089",0.554
"26141",0.652
"27173",-0.446
"28057",-1.559
"28109",-0.575
"29027",-0.079
"30033",-1.312
"30063",-0.184
"31007",-1.234
"32031",-0.136
"34031",0.184
"35017",-1.155
"36009",-0.139
"36061",0.269
"37015",-0.868
"37101",0.279
"37125",0.039
"37131",-0.483
"38097",-0.911
"40003",-0.789
"40113",0.968
"40133",-0.889
"41015",1.791
"42101",0.115
"45027",-0.578
"45047",-0.893
"45057",-0.383
"45087",-0.469
"47025",-0.765
"47053",-0.553
"47079",-1.053
"47105",0.443
"48089",-0.128
"48135",-1.034
"48175",-0.805
"48323",-0.686
"48379",0.094
"48391",-0.841
"48411",0.272
"49007",-1.046
"49019",-1.138
"51029",-0.586
"51061",2.273
"51141",0.056
"51167",-0.44
"51193",-0.624
"53045",0.726
"53073",1.5
"54025",4.425
"12029",-0.428
"12057",-0.275
"12089",-0.891
"13025",0.154
"13201",-1.206
"13265",-0.951
"13289",-1.194
"16059",-0.624
"16087",-0.209
"18053",-0.029
"36017",0.371
"37019",-0.319
"37047",-0.257
"37147",-0.429
"37173",2.509
"39167",1.446
"40023",-0.624
"27051",0.742
"27137",0.181
"28021",0.408
"28053",-0.693
"28137",-1.427
"30003",-1.341
"30061",0.043
"30089",-0.348
"31009",1.501
"32003",0.005
"32033",-0.365
"34035",0.2
"50027",2.122
"51027",-0.734
"51057",-0.705
"51119",-0.818
"51149",-0.667
"53067",0.861
"54109",-0.757
"05057",-1.186
"06071",0.575
"10003",-0.134
"41003",1.742
"42055",0.214
"44007",0.619
"45031",-0.54
"45065",-1.159
"47055",0.417
"47117",0.281
"47147",-0.706
"48015",-0.344
"48043",-1.171
"48071",-0.544
"48173",-0.815
"48277",-0.183
"48301",-1.034
"48387",-0.378
"21203",-0.35
"30009",-0.115
"01033",-0.272
"02050",-1.241
"04007",-0.515
"05039",-1.424
"06015",1.719
"08043",-0.491
"08107",0.318
"12013",-0.964
"12069",-0.05
"12103",-0.095
"12129",-0.926
"13033",-1.242
"16003",-0.503
"16035",-0.369
"17153",0.027
"18071",0.411
"18113",1.779
"21003",-0.955
"21107",-1.246
"21235",-0.518
"13215",1.617
"13263",1.792
"13301",-1.15
"16013",-0.712
"16031",-0.318
"17125",-0.631
"18007",0.436
"18051",-0.52
"20083",-1.131
"20203",-1.602
"21079",-0.18
"21123",-0.78
"21209",-0.776
"22065",-1.265
"22105",-0.982
"23025",5.27
"24037",-0.118
"29227",-1.135
"30043",-0.253
"30081",-0.361
"33009",4.672
"34027",0.241
"36075",0.286
"37145",0.813
"37193",0.335
"39021",2.104
"40141",-1.445
"41031",0.619
"41047",1.409
"45029",-0.332
"45071",-0.715
"46085",-1.554
"47057",-0.38
"47145",-0.507
"47183",-0.823
"48041",3.592
"48079",-1.139
"48419",-1.356
"48495",-1.034
"49023",-1.083
"51021",-0.66
"51103",-0.839
"51157",2.097
"53019",0.827
"53075",-0.548
"54083",0.811
"55011",5.499
"56033",-1.341
"60050",-0.364
"72031",-1.677
"78030",-1.677
"01073",-1.023
"01129",-0.654
"02122",-1.241
"02290",-1.241
"04025",0.124
"06063",-0.017
"06089",1.146
"08005",-0.349
"20133",0.768
"20161",-0.51
"21033",-1.223
"21097",-0.659
"21133",-1.103
"21187",-0.897
"22045",-0.685
"22073",-1.384
"24011",-0.098
"48455",-0.645
"49033",-1.038
"51019",-0.198
"51067",-0.212
"51105",-0.73
"51143",-0.198
"53071",0.2
"54033",2.195
"55037",0.49
"55075",0.737
"01099",-1.14
"08027",-1.295
"12113",-0.71
"42017",0.361
"46023",-1.584
"47093",-0.525
"47167",-0.733
"48023",-1.591
"48057",-0.226
"48201",-0.585
"48401",-0.394
"72121",-1.677
"12083",0.037
"35029",-1.374
"06093",1.77
"23003",5.269
"12105",-0.165
"20093",-1.144
"22107",-1.15
"26055",0.828
"36111",1.05
"37183",0.413
"42129",0.891
"51059",0.421
"01013",-1.553
"01015",-0.947
"22057",-0.694
"24023",0.39
"26071",0.24
"27067",1.971
"27167",0.81
"28051",-0.879
"29013",0.514
"29037",-0.394
"30053",-0.261
"35033",-0.613
"38003",-1.275
"40055",-1.61
"40117",0.332
"42043",0.291
"42097",0.133
"45015",-0.341
"45067",-0.427
"47009",1.32
"47129",-0.716
"47187",-0.012
"48157",-0.143
"48207",-1.357
"48327",-0.001
"49017",-1.057
"51093",-0.611
"53021",0.393
"69085",-1.179
"72147",-1.677
"01059",-0.758
"02020",-1.241
"04021",-0.435
"05069",-1.326
"05107",-1.677
"06041",0.587
"06077",0.42
"08001",-0.349
"19081",0.139
"21101",-0.861
"21183",-1.25
"21221",-0.991
"22059",-1.44
"23023",5.297
"26029",0.599
"08117",0.186
"12007",-0.436
"13031",0.189
"13113",2.264
"13151",2.433
"13191",0.4
"17189",0.562
"18145",2.047
"36113",1.565
"37031",-0.305
"37113",2.593
"38035",-0.911
"39123",0.201
"40101",-0.411
"27069",-0.726
