county_code,score
"01005",-1.887
"01023",-2.571
"01035",-1.577
"01051",-1.939
"01065",-2.307
"01109",-1.858
"01113",-1.569
"01117",-1.7
"02016",0.868
"04015",2.194
"05011",-1.862
"05015",1.314
"05019",-2.061
"05025",-1.764
"05063",-0.771
"05067",0.134
"05091",-1.733
"05139",-1.596
"06001",3.49
"06003",1.041
"06023",3.829
"06033",2.532
"06037",1.606
"06057",1.4
"06081",3.263
"06085",3.267
"06115",1.677
"08013",3.8
"08029",3.058
"08059",4.172
"08091",1.655
"09009",2.182
"11001",1.955
"12009",0.529
"12039",-1.747
"12055",0.734
"12065",-2.059
"12073",-1.918
"12107",-0.076
"12117",0.698
"12123",-1.872
"12133",-1.561
"13009",-2.485
"13013",-0.573
"13027",-1.972
"13073",-1.995
"13103",0.461
"13149",0.164
"13179",-0.166
"13189",-2.145
"13205",-2.505
"13229",-0.846
"13267",0.078
"13291",0.116
"13305",-0.991
"13319",-2.364
"15007",2.021
"16015",-0.209
"16025",-0.159
"16033",3.049
"16039",-0.005
"16041",1.992
"16043",3.105
"16061",2.42
"16085",-0.01
"17003",-0.859
"17031",0.69
"17043",0.701
"17097",1.553
"17115",-0.929
"17161",0.498
"17197",0.205
"18027",1.149
"18061",0.382
"18123",1.212
"18147",1.22
"18157",-0.598
"19041",-0.841
"19045",1.352
"19111",-0.154
"19135",-0.476
"20025",-2.952
"20067",-3.504
"20095",-0.385
"20199",-3.248
"21007",-1.647
"21017",-0.602
"21031",-0.653
"21065",-0.343
"21069",-1.243
"21099",-1.118
"21125",1.2
"21127",-0.863
"21131",-1.919
"21151",0.993
"21179",0.705
"21189",-1.642
"21195",-1.206
"21217",2.095
"21239",1.271
"22011",-1.809
"22013",-1.83
"22021",-1.804
"22029",-2.752
"22033",-1.987
"22069",-2.871
"22075",-1.161
"22077",-1.801
"22083",-2.155
"22087",-1.129
"22099",-1.766
"23015",2.583
"24003",1.87
"24033",1.721
"24043",1.878
"25011",3.671
"25017",3.033
"26099",2.371
"26135",3.35
"26147",3.063
"26153",2.563
"27053",2.849
"27077",0.046
"27089",-0.612
"27101",-0.541
"27129",0.31
"27139",2.908
"28007",-1.671
"28105",-1.24
"28143",-0.919
"28163",-2.56
"29023",-0.298
"29029",0.843
"29031",-0.743
"29033",-0.139
"29157",-0.649
"29189",0.56
"29199",-0.436
"29207",-0.427
"30013",-1.106
"30015",-1.647
"30023",0.288
"30029",1.237
"30047",1.945
"30057",2.66
"30077",0.992
"30087",-1.801
"30105",-2.336
"31059",-1.583
"31113",-1.869
"31171",-1.869
"34007",0.761
"34013",0.408
"34019",0.961
"34023",0.278
"34041",1.217
"35021",-1.316
"35051",0.76
"36013",0.412
"36019",4.412
"36029",0.451
"36043",1.262
"36053",1.969
"36065",1.73
"36077",1.652
"36081",0.443
"36115",2.958
"37027",-0.347
"37055",0.438
"37059",-0.582
"37069",0.719
"37083",6.366
"37087",0.369
"37093",-1.112
"37111",0.433
"37121",1.184
"37127",0.413
"37155",-1.155
"37175",0.513
"37199",0.861
"38037",-0.883
"38085",-0.943
"38099",-2.003
"38105",-2.455
"39035",0.755
"39039",0.695
"39043",0.539
"39125",0.032
"40065",-2.444
"40079",-0.132
"40145",0.476
"41005",5.617
"41021",3.853
"41035",4.219
"41039",7.27
"41043",5.85
"41045",0.011
"41051",4.695
"41055",3.429
"42035",0.141
"42059",-1.26
"42063",0.452
"42067",0.454
"42091",1.076
"42111",-0.066
"45005",0.222
"45021",-0.661
"45025",-1.148
"45045",-0.275
"45049",0.6
"45053",0.706
"45063",-0.72
"45091",-0.783
"46093",-2.268
"46095",-2.909
"46103",-2.365
"47005",0.161
"47013",-0.671
"47019",1.134
"47029",-0.121
"47033",-1.882
"47049",-0.685
"47081",0.562
"47097",-1.476
"47121",0.629
"47149",0.059
"47159",-0.107
"48007",-1.197
"48025",-1.101
"48035",-0.423
"48067",-1.734
"48083",-1.329
"48091",1.38
"48103",-1.045
"48139",0.291
"48151",-1.873
"48167",-0.083
"48213",0.11
"48241",-1.262
"48245",-0.362
"48261",-1.553
"48333",-0.685
"48347",-1.625
"48361",-1.026
"48371",-0.53
"48403",-2.024
"48427",-1.545
"48457",-1.155
"48469",-0.847
"48471",0.295
"48475",-0.76
"48477",0.551
"48479",-1.892
"48499",-0.923
"49001",2.886
"49003",2.344
"49025",1.818
"49029",4.697
"49035",4.526
"49043",4.271
"51001",0.665
"51015",3.173
"51037",-0.171
"51053",6.395
"51069",1.648
"51109",1.193
"51125",3.822
"51145",0.56
"51161",0.763
"51185",0.933
"51790",3.173
"53005",3.181
"53007",4.203
"53009",5.476
"53015",4.398
"53037",4.034
"53043",4.269
"53065",2.853
"54005",-0.596
"54017",-1.829
"54039",-0.859
"54045",-0.641
"54047",0.922
"54067",-1.082
"54081",0.006
"54107",-0.9
"55113",0.931
"56029",3.119
"56039",3.021
"56045",-1.502
"60010",0.189
"60020",0.189
"69100",-1.615
"69110",-1.615
"69120",-1.615
"72023",-3.819
"72037",-3.819
"72039",-3.819
"72053",-3.819
"72113",-3.819
"72115",-3.819
"78010",-3.819
"78020",-3.819
"01049",-0.955
"01069",-2.267
"01087",-1.776
"01091",-3.157
"01095",-0.457
"01101",-1.727
"01115",-1.39
"01119",-2.151
"01121",-1.072
"01131",-2.676
"02105",0.126
"02240",1.067
"04005",2.636
"04009",1.547
"04012",2.767
