county_code,score
"01005",-1.97
"01023",-2.45
"01035",-2.704
"01051",-2.761
"01065",-2.974
"01109",-2.431
"01113",-2.516
"01117",-2.27
"02016",-3.273
"04015",1.821
"05011",-3.246
"05015",-0.599
"05019",-3.876
"05025",-3.306
"05063",-3.308
"05067",-3.812
"05091",-2.087
"05139",-2.753
"06001",1.297
"06003",-0.41
"06023",-0.428
"06033",0.912
"06037",0.949
"06057",-0.646
"06081",1.213
"06085",0.722
"06115",-0.426
"08013",-1.234
"08029",-3.016
"08059",-0.789
"08091",-3.312
"09009",1.663
"11001",1.631
"12009",0.952
"12039",0.066
"12055",0.719
"12065",-0.861
"12073",-0.467
"12107",0.591
"12117",1.135
"12123",-0.166
"12133",-0.767
"13009",-1.071
"13013",0.341
"13027",-0.17
"13073",-0.139
"13103",0.439
"13149",0.113
"13179",0.876
"13189",-0.463
"13205",-1.237
"13229",0.575
"13267",-0.356
"13291",1.317
"13305",-0.266
"13319",-0.799
"15007",-0.934
"16015",0.843
"16025",1.541
"16033",2.588
"16039",1.113
"16041",4.794
"16043",3.049
"16061",0.962
"16085",1.198
"17003",-1.418
"17031",1.221
"17043",1.169
"17097",1.4
"17115",0.604
"17161",0.746
"17197",1.354
"18027",1.171
"18061",1.045
"18123",0.464
"18147",0.076
"18157",1.432
"19041",1.025
"19045",1.109
"19111",0.142
"19135",1.839
"20025",-1.954
"20067",-1.666
"20095",-1.036
"20199",-2.381
"21007",-1.745
"21017",-1.011
"21031",-1.107
"21065",-0.12
"21069",-1.071
"21099",-0.535
"21125",-0.882
"21127",-1.166
"21131",-0.801
"21151",-0.345
"21179",0.033
"21189",-0.32
"21195",-0.512
"21217",-0.659
"21239",0.63
"22011",-0.53
"22013",-1.409
"22021",-0.711
"22029",-1.985
"22033",-1.299
"22069",-1.322
"22075",-0.295
"22077",-1.148
"22083",-1.933
"22087",-0.447
"22099",-0.886
"23015",1.445
"24003",1.562
"24033",1.5
"24043",0.996
"25011",1.929
"25017",1.915
"26099",1.334
"26135",1.346
"26147",1.699
"26153",0.953
"27053",1.762
"27077",0.087
"27089",0.019
"27101",0.63
"27129",-0.182
"27139",1.62
"28007",-1
"28105",-1.635
"28143",-2.125
"28163",-1.589
"29023",-2.107
"29029",1.925
"29031",-0.981
"29033",0.25
"29157",-0.975
"29189",0.968
"29199",2.577
"29207",-2.003
"30013",-1.381
"30015",-1.615
"30023",0.036
"30029",0.144
"30047",0.634
"30057",1.978
"30077",0.047
"30087",-1.628
"30105",-1.762
"31059",-1.227
"31113",-1.62
"31171",-1.321
"34007",1.875
"34013",1.013
"34019",1.77
"34023",0.943
"34041",1.692
"35021",-1.076
"35051",0.213
"36013",0.508
"36019",1.361
"36029",0.519
"36043",0.517
"36053",0.631
"36065",0.418
"36077",1.03
"36081",1.321
"36115",1.45
"37027",0.995
"37055",0.322
"37059",0.775
"37069",0.307
"37083",0.719
"37087",1.094
"37093",0.248
"37111",0.949
"37121",0.93
"37127",0.66
"37155",0.302
"37175",1.532
"37199",0.802
"38037",-1.081
"38085",-1.809
"38099",-1.409
"38105",-0.969
"39035",0.754
"39039",1.218
"39043",0.54
"39125",0.853
"40065",-2.695
"40079",-1.811
"40145",0.294
"41005",1.637
"41021",1.977
"41035",0.008
"41039",1.574
"41043",1.732
"41045",1.089
"41051",1.32
"41055",1.789
"42035",0.056
"42059",-0.64
"42063",1.338
"42067",0.537
"42091",1.883
"42111",0.151
"45005",0.53
"45021",0.583
"45025",0.695
"45045",0.509
"45049",0.379
"45053",0.368
"45063",0.267
"45091",0.35
"46093",-2.012
"46095",-2.637
"46103",-2.459
"47005",0.089
"47013",-0.155
"47019",0.785
"47029",0.59
"47033",-1.117
"47049",-0.191
"47081",0.063
"47097",-1.621
"47121",0.997
"47149",0.978
"47159",-0.007
"48007",0.895
"48025",0.99
"48035",0.97
"48067",-0.593
"48083",-1.04
"48091",1.984
"48103",-0.724
"48139",1.471
"48151",-2.864
"48167",0.646
"48213",0.865
"48241",0.169
"48245",0.18
"48261",0.021
"48333",0.66
"48347",-0.154
"48361",-0.304
"48371",-0.505
"48403",-0.591
"48427",-0.327
"48457",0.07
"48469",1.182
"48471",0.362
"48475",-0.521
"48477",1.156
"48479",-0.73
"48499",0.718
"49001",2.689
"49003",3.065
"49025",2.507
"49029",5.295
"49035",4.805
"49043",5.487
"51001",10.992
"51015",1.605
"51037",0.489
"51053",0.582
"51069",0.966
"51109",1.416
"51125",2.141
"51145",0.629
"51161",0.674
"51185",-0.243
"51790",1.529
"53005",0.998
"53007",2.097
"53009",1.206
"53015",1.325
"53037",1.973
"53043",3.049
"53065",2.349
"54005",-0.742
"54017",-0.205
"54039",-0.441
"54045",-0.577
"54047",-0.603
"54067",-0.135
"54081",-0.349
"54107",-0.712
"55113",0.869
"56029",2.382
"56039",4.079
"56045",-0.466
"60010",-1.765
"60020",-1.765
"69100",-3.217
"69110",-3.217
"69120",-3.217
"72023",-4.335
"72037",-4.335
"72039",-4.335
"72053",-4.335
"72113",-4.335
"72115",-4.335
"78010",-4.335
"78020",-4.335
"01049",-0.687
"01069",-1.898
"01087",-1.876
"01091",-3.524
"01095",-0.645
"01101",-2.916
"01115",-1.424
"01119",-2.623
"01121",-1.904
"01131",-4.087
"02105",-3.273
"02240",-3.273
"04005",2.481
"04009",0.634
"04012",1.495
"04013",0.281
"04027",0.967
"05003",-2.446
"05007",-0.234
"05061",-2.911
"05075",-3.058
"05093",-1.829
"05095",-2.803
"05103",-3.679
"05117",-2.451
"05131",-1.53
"05133",-2.435
"05147",-2.618
"06045",0.448
"06051",-0.77
"06065",1.543
"06069",1.006
"06079",0.924
"06083",1.4
"06101",-0.145
"06107",-0.122
"08019",-1.117
"08023",-2.172
"08031",-1.19
"08055",-2.239
"19027",3.903
"19075",1.848
"19137",3.101
"19157",1.757
"19163",0.674
"20017",0.408
"20055",-1.976
"20143",-0.429
"21005",0.45
"21011",-0.886
"21025",-1.065
"21029",0.387
"21043",-1.659
"21049",-0.736
"21071",-0.683
"21085",-0.979
"21095",-0.339
"21105",-0.982
"21109",-0.319
"21119",-0.804
"21121",-0.878
"21135",-1.396
"21153",-0.646
"21159",-0.264
"21167",0.732
"21177",-0.93
"21181",-0.8
"21193",-0.811
"21231",-0.141
"22035",-1.683
"22039",-0.804
"22053",-0.926
"22055",-0.834
"22067",-1.935
"22079",-1.061
"22103",-0.111
"22111",-2.125
"22127",-0.867
"23007",1.716
"23017",1.662
"23027",1.336
"23031",1.791
"24001",0.236
"24005",1.582
"24017",1.628
"24021",1.046
"24031",1.508
"24041",1.279
"24045",1.514
"25005",1.997
"25023",1.977
"25025",1.875
"26033",0.663
"26063",0.919
"26083",0.342
"26097",1.019
"26115",1.467
"08093",-1.377
"08105",-2.497
"08113",-2.553
"09001",1.15
"09007",2.199
"10005",1.342
"12001",0.096
"12017",0.88
"12033",-2.226
"12041",-0.033
"12047",-0.272
"12071",0.679
"12086",0.577
"12093",0.837
"12097",0.96
"13021",-1.225
"13029",0.627
"13039",0.027
"13051",0.613
"13077",0.546
"13133",-0.965
"13137",0.857
"13143",-0.457
"13157",-0.087
"13163",-0.563
"13171",-0.063
"13181",-0.562
"13185",0.15
"13195",0.101
"13221",-0.264
"13237",-0.954
"13245",-0.546
"13251",0.589
"13269",-0.997
"13283",-1.118
"51007",2.335
"13303",-0.895
"13309",0.143
"13313",0.488
"13317",-0.94
"15001",0.144
"16005",3.893
"16073",1.561
"16077",3.278
"16081",4.185
"16083",1.276
"17017",-0.685
"17027",0.201
"17047",-0.17
"17109",-0.315
"17129",-0.441
"17175",-0.016
"17185",-0.237
"18009",1.148
"18035",1.054
"18067",1.963
"18083",0.016
"18159",1.94
"18179",1.059
"35055",-2.178
"36025",0.971
"36105",1.562
"36119",0.968
"36123",0.739
"37013",0.736
"37017",0.551
"37023",1.049
"37057",0.679
"37061",0.707
"37065",0.688
"37075",1.274
"37085",0.834
"37089",1.133
"37119",0.336
"37129",0.334
"37133",0.519
"37137",0.781
"37143",1.36
"37149",0.751
"37153",0.488
"37161",0.893
"37167",0.496
"38005",-1.393
"38033",-1.568
"38053",-1.353
"38059",-1.809
"38067",-1.37
"38071",-1.714
"38077",-1.224
"39061",0.541
"39095",1.159
"39137",0.706
"39175",0.784
"40013",0.143
"40027",-0.08
"40057",-2.686
"40067",-0.424
"40075",-1.894
"40087",-0.112
"40095",0.447
"40125",-0.287
"40135",-0.539
"27011",-1.609
"27027",-0.292
"27031",0.197
"27061",1.895
"27073",-0.846
"27075",0.813
"27085",1.704
"27097",1.813
"27127",0.216
"27171",1.914
"28011",-2.989
"28029",-0.97
"28039",-0.747
"28055",-1.308
"28083",-2.045
"28087",-2.219
"28103",-1.522
"28121",-1.135
"28141",-1.083
"28149",-1.318
"28151",-2.55
"29041",1.683
"29069",-1.916
"29099",0.296
"29113",0.607
"29159",1.257
"29183",0.578
"29195",1.07
"29201",-1.86
"30011",-2.242
"30027",-1.843
"30031",0.719
"30045",-1.304
"30049",-0.657
"30055",-1.72
"30059",-0.502
"30073",-0.802
"30085",-2.139
"30099",-0.673
"31069",-1.94
"31103",-2.122
"31151",-0.941
"32001",-1.309
"32015",-1.01
"32027",-0.295
"33007",1.838
"33015",1.765
"33017",1.887
"34001",1.84
"34015",1.812
"34021",1.463
"34029",1.347
"35031",0.727
"35039",-0.927
"48425",0.928
"48443",-1.227
"48449",0.249
"48453",1.376
"48459",0.708
"48473",1.105
"48491",1.525
"49045",5.052
"49047",1.542
"49051",4.48
"50017",1.762
"51003",1.67
"51009",4.057
"51017",0.935
"51023",0.815
"51033",9.254
"51047",1.426
"51073",10.777
"51077",1.107
"51095",10.525
"51097",2.298
"51107",1.631
"51111",2.126
"51121",0.079
"51127",9.522
"51139",1.696
"51163",0.898
"51175",-0.85
"51179",1.884
"51191",0.103
"51195",0.228
"53049",1.739
"53057",2.563
"53061",2.081
"53077",1.366
"54003",0.931
"54007",-0.637
"54019",-1.093
"54027",0.521
"54037",1.175
"54041",-0.799
"54043",-0.372
"54057",-0.211
"54065",0.961
"54071",0.621
"54075",0.437
"54093",0.17
"54099",-0.582
"55007",0.678
"55023",1.204
"55051",0.616
"55057",1.223
"55107",0.445
"55121",1.433
"56003",0.674
"56013",3.952
"01041",-3.18
"01071",0.565
"02100",-3.273
"04001",0.644
"05001",-2.697
"05017",-2.409
