county_code,score
"01005",-0.621
"01023",-0.703
"01035",-0.398
"01051",-0.362
"01065",-0.579
"01109",-0.628
"01113",1.039
"01117",-0.187
"02016",-0.619
"04015",-0.345
"05011",-0.579
"05015",-0.565
"05019",-0.678
"05025",-0.646
"05063",-0.661
"05067",-0.689
"05091",-0.684
"05139",-0.579
"06001",0.568
"06003",1.931
"06023",-0.049
"06033",0.635
"06037",0.063
"06057",-0.041
"06081",0.586
"06085",0.574
"06115",0.138
"08013",0.103
"08029",-0.106
"08059",0.146
"08091",-0.106
"09009",1.053
"11001",0.767
"12009",-0.199
"12039",-0.453
"12055",-0.068
"12065",-0.326
"12073",-0.494
"12107",-0.38
"12117",-0.289
"12123",-0.326
"12133",-0.346
"13009",-0.658
"13013",-0.354
"13027",-0.43
"13073",-0.623
"13103",-0.539
"13149",1.678
"13179",-0.539
"13189",-0.623
"13205",-0.494
"13229",-0.645
"13267",-0.601
"13291",-0.149
"13305",-0.622
"13319",-0.646
"15007",0.402
"16015",8.524
"16025",8.524
"16033",8.974
"16039",8.524
"16041",-0.274
"16043",-0.175
"16061",-0.559
"16085",8.556
"17003",-0.55
"17031",0.109
"17043",0.109
"17097",0.287
"17115",-0.567
"17161",1.688
"17197",-0.004
"18027",-0.596
"18061",-0.191
"18123",-0.438
"18147",-0.438
"18157",-0.088
"19041",0.933
"19045",1.136
"19111",0.116
"19135",-0.523
"20025",-0.656
"20067",-0.656
"20095",-0.518
"20199",-0.656
"21007",-0.532
"21017",-0.624
"21031",-0.691
"21065",-0.643
"21069",-0.293
"21099",-0.503
"21125",-0.689
"21127",-0.601
"21131",-0.689
"21151",-0.624
"21179",-0.046
"21189",-0.689
"21195",-0.586
"21217",-0.703
"21239",-0.434
"22011",-0.651
"22013",-0.56
"22021",-0.579
"22029",-0.581
"22033",-0.628
"22069",-0.56
"22075",-0.281
"22077",-0.501
"22083",-0.579
"22087",-0.281
"22099",-0.501
"23015",2.869
"24003",0.696
"24033",0.569
"24043",-0.104
"25011",4.07
"25017",2.907
"26099",0.101
"26135",-0.627
