county_code,score
"01005",-1.88
"01023",-2.519
"01035",-1.428
"01051",-2.086
"01065",-2.063
"01109",-2.167
"01113",-1.708
"01117",-1.907
"02016",-1.878
"04015",0.685
"05011",-2.604
"05015",0.164
"05019",-1.062
"05025",-2.17
"05063",-1.978
"05067",-2.302
"05091",-1.444
"05139",-2.482
"06001",1.306
"06003",0.189
"06023",2.947
"06033",1.736
"06037",0.918
"06057",-0.11
"06081",1.748
"06085",0.872
"06115",0.503
"08013",0.44
"08029",-0.36
"08059",0.465
"08091",-0.652
"09009",1.165
"11001",1.064
"12009",0.55
"12039",-1.302
"12055",0.378
"12065",-0.694
"12073",-0.904
"12107",0.854
"12117",0.438
"12123",-0.372
"12133",-1.365
"13009",-1.631
"13013",0.02
"13027",-0.731
"13073",-1.224
"13103",-0.149
"13149",0.251
"13179",0.195
"13189",-1.574
"13205",-1.3
"13229",1.508
"13267",0.888
"13291",1.377
"13305",-0.34
"13319",-1.027
"15007",1.193
"16015",-0.11
"16025",0.196
"16033",1.852
"16039",0.196
"16041",0.717
"16043",1.547
"16061",0.863
"16085",0.983
"17003",-0.761
"17031",0.535
"17043",0.619
"17097",1.131
"17115",0.836
"17161",2.232
"17197",0.114
"18027",0.795
"18061",0.279
"18123",0.347
"18147",0.326
"18157",1.884
"19041",2.44
"19045",0.804
"19111",4.858
"19135",1.064
"20025",-1.218
"20067",-1.472
"20095",2.269
"20199",-1.726
"21007",-0.404
"21017",-0.709
"21031",-0.722
"21065",-0.061
"21069",-1.266
"21099",-1.795
"21125",-0.308
"21127",-0.448
"21131",-1.168
"21151",-0.446
"21179",-0.57
"21189",0.13
"21195",-0.596
"21217",-1.172
"21239",-0.923
"22011",-1.09
"22013",-1.939
"22021",-1.972
"22029",-0.859
"22033",-1.336
"22069",-1.857
"22075",-0.843
"22077",-0.537
"22083",-2.543
"22087",-0.93
"22099",-0.501
"23015",7.845
"24003",1.228
"24033",0.911
"24043",0.755
"25011",3.156
"25017",1.358
"26099",3.333
"26135",2.066
"26147",3.583
"26153",4.709
"27053",3.235
"27077",-0.617
"27089",-0.847
"27101",-2.008
"27129",-1.372
"27139",1.851
"28007",-2.14
"28105",-2.36
"28143",-2.231
"28163",-2.073
"29023",-1.077
"29029",0.353
"29031",-0.813
"29033",0.142
"29157",-0.683
"29189",-0.859
"29199",5.197
"29207",-0.914
"30013",-0.824
"30015",-1.594
"30023",0.38
"30029",-0.09
"30047",-0.187
"30057",1.835
"30077",0.75
"30087",-1.045
"30105",-1.345
"31059",0.256
"31113",-1.951
"31171",-1.769
"34007",0.49
"34013",0.24
"34019",0.52
"34023",0.15
"34041",0.598
"35021",-1.434
"35051",-1.866
"36013",0.854
"36019",8.444
"36029",0.648
"36043",1.024
"36053",1.124
"36065",0.925
"36077",1.07
"36081",0.223
"36115",2.972
"37027",1.314
"37055",-0.32
"37059",0.034
"37069",-0.128
"37083",-0.697
"37087",1.41
"37093",-0.267
"37111",1.186
"37121",2.129
"37127",-0.027
"37155",-0.32
"37175",1.988
"37199",1.495
"38037",-0.472
"38085",-0.472
"38099",-1.507
"38105",-1.281
"39035",1.188
"39039",1.507
"39043",0.796
"39125",1.214
"40065",-2.341
"40079",-0.019
"40145",0.162
"41005",4.143
"41021",2.689
"41035",2.158
"41039",4.266
"41043",3.334
"41045",0.467
"41051",3.824
"41055",2.215
"42035",0.953
"42059",-0.515
"42063",1.192
"42067",0.828
"42091",0.604
"42111",0.252
"45005",-0.81
"45021",0.386
"45025",-0.281
"45045",0.992
"45049",-0.721
"45053",-0.185
"45063",-0.933
"45091",0.283
"46093",-1.028
"46095",-1.088
"46103",-1.028
"47005",-0.781
"47013",-0.985
"47019",1.84
"47029",0.505
"47033",-1.734
"47049",0.14
"47081",-1.016
"47097",-1.841
"47121",-0.405
"47149",-0.031
"47159",-0.347
"48007",-2.059
"48025",-2.081
"48035",-0.49
"48067",-0.55
"48083",-2.004
"48091",-0.264
"48103",-2.191
"48139",0.192
"48151",-2.381
"48167",-0.882
"48213",-0.015
"48241",-1.54
"48245",-0.938
"48261",-2.004
"48333",-1.079
"48347",-1.409
"48361",-1.417
"48371",-2.227
"48403",-1.836
"48427",-1.75
"48457",-1.093
"48469",-1.5
"48471",-0.742
"48475",-2.191
"48477",-0.946
"48479",-1.864
"48499",0.146
"49001",0.824
"49003",0.109
"49025",0.304
"49029",0.506
"49035",0.074
"49043",1.756
"51001",1.032
"51015",0.374
"51037",0.266
"51053",-0.913
"51069",0.122
"51109",0.946
"51125",0.704
"51145",0.239
"51161",0.143
"51185",0.4
"51790",0.374
"53005",1.607
"53007",1.488
"53009",2.81
"53015",3.379
"53037",1.569
"53043",0.777
"53065",0.514
"54005",-0.229
"54017",-0.692
"54039",-1.501
"54045",-0.364
"54047",0.121
"54067",-1.198
"54081",-1.517
"54107",0.101
"55113",0.16
"56029",1.235
"56039",1.885
"56045",-2.291
"60010",-0.798
"60020",-0.798
"69100",-2.081
"69110",-2.081
"69120",-2.081
"72023",-2.604
"72037",-2.604
"72039",-2.604
"72053",-2.604
"72113",-2.604
"72115",-2.604
"78010",-2.604
"78020",-2.604
"01049",-0.778
"01069",-1.918
"01087",-1.604
"01091",-2.519
"01095",-0.666
"01101",-2.146
"01115",-1.737
"01119",-2.368
"01121",-2.074
"01131",-2.5
"02105",0.974
"02240",0.974
"04005",0.211
"04009",-1.395
"04012",1.117
"04013",-0.525
"04027",0.363
"05003",-2.543
"05007",0.641
"05061",-0.009
"05075",-2.192
"05093",-1.947
"05095",-2.194
"05103",-2.604
"05117",-2.045
"05131",0.054
"05133",0.054
"05147",-1.864
"06045",2.157
"06051",0.472
"06065",1.483
"06069",0.577
"06079",1.084
"06083",1.258
"06101",0.732
"06107",1.166
"08019",0.325
"08023",-1.168
"08031",0.116
"08055",-1.56
"19027",-1.406
"19075",1.538
"19137",1.152
"19157",1.947
"19163",0.223
"20017",0.018
"20055",-1.74
"20143",-1.287
"21005",-0.69
"21011",-1.018
"21025",-0.698
"21029",-0.547
"21043",-0.331
"21049",-0.867
"21071",-0.471
"21085",-1.184
"21095",-0.894
"21105",-0.498
"21109",-0.025
"21119",-0.02
"21121",-0.695
"21135",-1.226
"21153",0.005
"21159",-0.377
"21167",-0.254
"21177",-0.623
"21181",-0.997
"21193",-1.14
"21231",0.616
"22035",-2.273
"22039",-0.313
"22053",-0.732
"22055",-0.609
"22067",-2.543
"22079",-0.772
"22103",-1.164
"22111",-2.543
"22127",-1.908
"23007",9.632
"23017",9.396
"23027",7.984
"23031",3.65
"24001",0.11
"24005",1.157
"24017",1.039
"24021",1.165
"24031",1.237
"24041",0.692
"24045",1.623
"25005",1.917
"25023",1.915
"25025",2.156
"26033",1.167
"26063",2.671
"26083",1.947
"26097",1.57
"26115",1.386
"08093",-0.103
"08105",-1.003
"08113",-0.652
"09001",0.499
"09007",1.293
"10005",0.355
"12001",0.555
"12017",0.233
"12033",-1.327
"12041",-0.388
"12047",-0.793
"12071",0.378
"12086",0.336
