county_code,score
"01005",-0.575
"01023",1.445
"01035",-0.667
"01051",-0.714
"01065",2.871
"01109",-0.636
"01113",-0.598
"01117",2.199
"02016",-1.33
"04015",0.033
"05011",-1.585
"05015",-0.333
"05019",-1.168
"05025",-1.131
"05063",-1.245
"05067",-1.441
"05091",-0.846
"05139",-1.594
"06001",0.674
"06003",0.647
"06023",1.178
"06033",0.88
"06037",0.862
"06057",0.515
"06081",0.585
"06085",0.92
"06115",0.136
"08013",0.374
"08029",-0.8
"08059",0.421
"08091",-1.057
"09009",0.9
"11001",1.205
"12009",1.011
"12039",-0.357
"12055",0.987
"12065",0.628
"12073",0.635
"12107",0.682
"12117",0.484
"12123",1.035
"12133",-0.392
"13009",0.448
"13013",1.322
"13027",0.938
"13073",0.864
"13103",0.548
"13149",0.515
"13179",0.151
"13189",0.652
"13205",-0.369
"13229",-0.608
"13267",-0.851
"13291",-0.324
"13305",-0.654
"13319",0.039
"15007",-0.177
"16015",-0.395
"16025",-0.611
"16033",0.475
"16039",-0.395
"16041",-0.395
"16043",-0.026
"16061",-0.167
"16085",-0.411
"17003",-0.96
"17031",0.832
"17043",0.947
"17097",1.345
"17115",-0.051
"17161",0.577
"17197",0.288
"18027",-0.191
"18061",0.032
"18123",3.507
"18147",3.984
"18157",0.438
"19041",-1.703
"19045",1.499
"19111",-0.47
"19135",-0.775
"20025",-1.612
"20067",-1.561
"20095",7.294
"20199",-1.558
"21007",-0.555
"21017",-0.903
"21031",3.091
"21065",-1.161
"21069",-1.26
"21099",-0.801
"21125",-1.025
"21127",-1.091
"21131",-1.092
"21151",-1.113
"21179",-0.075
"21189",-1.091
"21195",-1.164
"21217",-0.766
"21239",-0.732
"22011",-0.636
"22013",-1.469
"22021",-1.388
"22029",-0.113
"22033",-0.192
"22069",-1.386
"22075",-0.065
"22077",1.073
"22083",-1.709
"22087",-0.201
"22099",1.016
"23015",5.015
"24003",1.08
"24033",1.142
"24043",0.986
"25011",1.075
"25017",0.599
"26099",2.954
"26135",0.043
"26147",3.501
"26153",3.344
"27053",0.92
"27077",-1.18
"27089",-1.299
"27101",-1.634
"27129",-0.845
"27139",0.535
"28007",-1.25
"28105",-0.639
"28143",-1.111
"28163",-0.905
"29023",-1.414
"29029",2.898
"29031",-0.986
"29033",-0.564
"29157",-0.963
"29189",-0.403
"29199",-1.035
"29207",-1.23
"30013",-1.111
"30015",-1.389
"30023",-0.602
"30029",-0.452
"30047",-0.534
"30057",-0.262
"30077",-0.415
"30087",-1.544
"30105",-1.455
"31059",-1.311
"31113",-1.685
"31171",-1.685
