county_code,score
"01005",-1.309
"01023",-1.556
"01035",-1.175
"01051",-1.148
"01065",-1.29
"01109",-1.12
"01113",-0.786
"01117",-0.913
"02016",-1.251
"04015",-0.249
"05011",-1.5
"05015",-0.415
"05019",-1.442
"05025",-1.339
"05063",3.621
"05067",-1.544
"05091",-1.373
"05139",-1.316
"06001",0.665
"06003",-0.03
"06023",-0.024
"06033",0.213
"06037",-0.285
"06057",-0.06
"06081",0.545
"06085",0.518
"06115",-0.189
"08013",0.23
"08029",-0.36
"08059",0.353
"08091",-0.456
"09009",1.895
"11001",0.255
"12009",0.046
"12039",-0.396
"12055",0.714
"12065",-0.533
"12073",-0.39
"12107",0.309
"12117",0.193
"12123",-0.057
"12133",-0.176
"13009",-0.655
"13013",-0.429
"13027",-1.343
"13073",-0.925
"13103",-0.241
"13149",-0.44
"13179",-0.57
"13189",-0.923
"13205",-1.125
"13229",-1.165
"13267",-1.043
"13291",0.517
"13305",-1.09
"13319",-0.942
"15007",-0.135
"16015",1.18
"16025",1.028
"16033",2.342
"16039",0.991
"16041",1.337
"16043",1.232
"16061",-0.024
"16085",1.07
"17003",-1.182
"17031",-0.243
"17043",-0.482
"17097",0.051
"17115",4.408
"17161",-0.238
"17197",-0.719
"18027",1.485
"18061",-0.407
"18123",-1.188
"18147",-0.916
"18157",0.133
"19041",-0.466
"19045",-0.028
"19111",-0.492
"19135",-0.192
"20025",-1.351
"20067",-1.508
"20095",-0.921
"20199",-1.46
"21007",-1.199
"21017",-0.9
"21031",-1.228
"21065",-1.324
"21069",-1.1
"21099",-0.826
"21125",-1.412
"21127",1.83
"21131",-1.16
"21151",-1.224
"21179",-0.158
"21189",-1.489
"21195",-1.031
"21217",-0.842
"21239",-0.141
"22011",0.524
"22013",-1.105
"22021",-1.218
"22029",-1.467
"22033",-1.34
"22069",-1.074
"22075",-0.262
"22077",-1.335
"22083",-1.5
"22087",-0.296
"22099",-1.107
"23015",5.254
"24003",0.136
"24033",0.066
"24043",0.652
"25011",3.147
"25017",1.671
"26099",0.44
"26135",3.527
"26147",0.386
"26153",3.743
"27053",0.777
"27077",1.061
"27089",0.496
"27101",-0.899
"27129",-0.302
"27139",0.24
"28007",-1.222
"28105",-1.301
"28143",-1.134
"28163",-1.138
"29023",3.74
"29029",-0.268
"29031",-1.01
"29033",0.063
"29157",-0.756
"29189",-0.694
"29199",-0.713
"29207",-1.33
"30013",-1.391
"30015",-1.162
"30023",-0.048
"30029",-0.704
"30047",-0.557
"30057",0.545
"30077",-0.263
"30087",-0.289
"30105",-1.151
"31059",-0.643
"31113",-0.633
"31171",-0.633
"34007",0.305
"34013",0.341
"34019",0.356
"34023",0.147
"34041",0.379
"35021",-1.152
"35051",-0.956
"36013",-0.141
"36019",5.068
"36029",-0.02
"36043",1.404
"36053",2.474
"36065",1.915
"36077",1.758
"36081",0.319
"36115",3.782
"37027",-0.197
"37055",-1.076
"37059",-0.368
"37069",1.048
"37083",0.271
"37087",1.169
"37093",-0.393
"37111",1.224
"37121",1.322
"37127",0.7
"37155",-0.494
"37175",1.953
"37199",1.278
"38037",-0.786
"38085",-0.786
"38099",0.051
"38105",-1.043
"39035",-0.069
"39039",1.198
"39043",-0.06
"39125",0.038
"40065",4.408
"40079",-1.339
"40145",-0.193
"41005",0.707
"41021",1.183
"41035",0
"41039",0.836
"41043",0.547
"41045",-0.19
"41051",0.304
"41055",0.805
"42035",0.335
"42059",1.637
"42063",0.072
"42067",0.622
"42091",0.386
"42111",1.534
"45005",-0.265
"45021",0.375
"45025",-0.771
"45045",0.9
"45049",-0.237
"45053",0.044
"45063",-0.349
"45091",0.199
"46093",-1.164
"46095",-1.35
"46103",-0.977
"47005",-0.909
"47013",-0.604
"47019",0.463
"47029",0.825
"47033",-0.996
"47049",-0.896
"47081",-0.754
"47097",-1.143
"47121",-0.633
"47149",0.033
"47159",-0.881
"48007",-1.122
"48025",-1.03
"48035",-0.097
"48067",-0.963
"48083",-0.267
"48091",0.798
"48103",-1.383
"48139",-0.067
"48151",-1.469
"48167",-0.416
"48213",0.19
"48241",0.695
"48245",0.916
"48261",-1.263
"48333",0.11
"48347",0.87
"48361",0.771
"48371",-1.412
"48403",0.516
"48427",-1.312
"48457",0.757
"48469",-1.073
"48471",-0.12
"48475",-1.3
"48477",0.02
"48479",-1.081
"48499",-0.023
"49001",-0.367
"49003",0.063
"49025",-0.582
"49029",0.974
"49035",0.157
"49043",1.025
"51001",1.539
"51015",3.494
"51037",1.423
"51053",0.22
"51069",0.363
"51109",1.87
"51125",2.854
"51145",1.279
"51161",0.74
"51185",-0.611
"51790",3.494
"53005",0.375
"53007",0.989
"53009",2.085
"53015",0.558
"53037",0.771
"53043",0.66
"53065",0.114
"54005",1.794
"54017",1.356
"54039",2.161
"54045",1.793
"54047",-0.925
"54067",-0.933
"54081",2.198
"54107",-0.327
"55113",1.963
"56029",1.678
"56039",2.325
"56045",-0.626
"60010",-0.558
"60020",-0.558
"69100",-1.257
"69110",-1.257
"69120",-1.257
"72023",-1.613
"72037",-1.613
"72039",-1.613
"72053",-1.613
"72113",-1.613
"72115",-1.613
"78010",-1.613
"78020",-1.613
"01049",-0.516
"01069",-1.038
"01087",-0.656
"01091",-1.602
"01095",-0.644
"01101",-1.178
"01115",-0.978
"01119",-1.395
"01121",-0.93
"01131",-1.579
"02105",-1.251
"02240",-1.251
"04005",-0.049
"04009",-0.588
"04012",0.037
"04013",-0.354
"04027",-0.137
"05003",-1.5
"05007",-0.418
"05061",-1.427
"05075",3.542
"05093",-1.143
"05095",-1.511
"05103",-1.511
"05117",-1.338
"05131",-0.549
"05133",-1.395
"05147",-1.345
"06045",0.183
"06051",-0.169
"06065",0.24
"06069",0.356
"06079",0.171
"06083",0.106
"06101",-0.047
"06107",-0.119
"08019",0.54
"08023",-0.784
"08031",0.094
"08055",-1.114
"19027",0.251
"19075",0.808
"19137",0.305
"19157",1.433
"19163",-0.2
"20017",0.954
"20055",-1.532
"20143",-0.421
"21005",-0.114
"21011",-1.262
"21025",-1.479
"21029",-0.361
"21043",-0.803
"21049",-1.226
"21071",-1.1
"21085",-1.283
"21095",-0.673
"21105",-1.183
"21109",-1.429
"21119",-1.053
"21121",-0.94
"21135",-0.971
"21153",-1.133
"21159",1.734
"21167",-0.469
"21177",-1.222
"21181",-0.895
"21193",-1.126
"21231",-1.216
"22035",-1.484
"22039",-1.044
"22053",0.474
"22055",-1.051
"22067",-1.5
"22079",-1.045
"22103",-1.039
"22111",-1.365
"22127",-1.21
"23007",6.024
"23017",6.892
"23027",5.28
"23031",4.163
"24001",0.274
"24005",0.35
"24017",-0.044
"24021",0.952
"24031",1.05
"24041",0.189
"24045",1.724
"25005",2.921
"25023",2.978
"25025",2.414
"26033",4.3
"26063",-0.181
"26083",-0.053
"26097",4.3
"26115",1.322
"08093",-0.066
"08105",-0.805
"08113",-0.421
"09001",0.861
"09007",2.141
"10005",-0.162
"12001",-0.023
"12017",0.234
"12033",-0.897
"12041",-0.448
"12047",-1.062
"12071",1.067
"12086",1.022
"12093",0.755
"12097",0.061
"13021",-0.812
"13029",-0.683
"13039",-0.546
"13051",-0.568
"13077",-0.477
"13133",-0.825
"13137",0.705
"13143",-0.928
"13157",-0.561
"13163",-1.364
"13171",-0.712
"13181",-0.948
"13185",-1.375
"13195",-0.216
"13221",-0.516
"13237",-0.353
"13245",-1.303
"13251",-0.329
"13269",-0.653
"13283",-1.473
"51007",2.312
"13303",-1.154
"13309",-1.37
"13313",-0.678
"13317",-0.654
"15001",0.302
"16005",1.954
"16073",0.814
"16077",1.241
"16081",2.102
"16083",0.812
"17017",-0.862
"17027",4.519
"17047",-0.547
"17109",-1.019
"17129",-0.537
"17175",-0.665
"17185",1.175
"18009",-0.218
"18035",-0.168
"18067",0.221
"18083",1.097
"18159",-0.217
"18179",-0.34
