county_code,score
"01005",-2.396
"01023",-2.788
"01035",-3.514
"01051",-4.437
"01065",-3.506
"01109",-3.493
"01113",-3.176
"01117",-3.64
"02016",-3.416
"04015",1.254
"05011",-4.595
"05015",-1.809
"05019",-4.932
"05025",-4.491
"05063",-2.317
"05067",-4.509
"05091",-3.304
"05139",-3.834
"06001",-0.288
"06003",-1.663
"06023",0.607
"06033",0.016
"06037",-0.056
"06057",-0.692
"06081",-0.185
"06085",-0.819
"06115",-0.774
"08013",-1.864
"08029",-3.554
"08059",-1.266
"08091",-3.824
"09009",-0.357
"11001",-0.425
"12009",-0.695
"12039",-0.821
"12055",-0.56
"12065",-1.476
"12073",-0.926
"12107",-0.763
"12117",-0.569
"12123",-1.553
"12133",-0.606
"13009",-2.022
"13013",-0.273
"13027",-0.776
"13073",-1.36
"13103",-1.425
"13149",-1.395
"13179",-0.121
"13189",-1.634
"13205",-1.414
"13229",-0.885
"13267",-1.672
"13291",4.473
"13305",-0.871
"13319",-2.682
"15007",-1.811
"16015",0.001
"16025",0.088
"16033",1.573
"16039",-0.236
"16041",1.586
"16043",3.548
"16061",3.267
"16085",1.554
"17003",-1.927
"17031",-0.142
"17043",0.016
"17097",0.22
"17115",2.252
"17161",2.434
"17197",-0.403
"18027",0.762
"18061",0.069
"18123",-0.321
"18147",-0.346
"18157",-0.039
"19041",4.35
"19045",2.005
"19111",2.301
"19135",2.312
"20025",1.401
"20067",-0.813
"20095",0.089
"20199",-3.033
"21007",-1.56
"21017",-1.946
"21031",-1.886
"21065",-0.798
"21069",-1.639
"21099",2.55
"21125",-0.179
"21127",-0.187
"21131",-1.199
"21151",0.542
"21179",3.599
"21189",-1.658
"21195",0.263
"21217",4.995
"21239",2.147
"22011",-1.118
"22013",-2.552
"22021",-2.623
"22029",-3.284
"22033",-2.503
"22069",-1.124
"22075",-1.972
"22077",-2.352
"22083",-3.433
"22087",-1.74
"22099",-2.681
"23015",3.242
"24003",-0.406
"24033",-0.398
"24043",1.496
"25011",1.651
"25017",0.62
"26099",2.402
"26135",2.351
"26147",2.817
"26153",0.882
"27053",2.413
"27077",2.487
"27089",1.074
"27101",1.432
"27129",0.5
"27139",1.891
"28007",-2.082
"28105",-1.854
"28143",-3.168
"28163",-3.461
"29023",-0.771
"29029",1.359
"29031",-1.282
"29033",0.785
"29157",-0.756
"29189",1.045
"29199",3.5
"29207",-2.544
"30013",-1.856
"30015",-2.109
"30023",0.392
"30029",0.858
"30047",1.325
"30057",1.337
"30077",0.775
"30087",-1.804
"30105",-2.56
"31059",-0.078
"31113",-3.533
"31171",-3.904
"34007",-0.884
"34013",-1.831
"34019",-0.955
"34023",-1.849
"34041",-0.696
"35021",-0.687
"35051",-0.126
"36013",0.486
"36019",1.992
"36029",0.31
"36043",0.704
"36053",1.125
"36065",0.646
"36077",0.531
"36081",-1.823
"36115",1.305
"37027",2.065
"37055",-0.269
"37059",0.6
"37069",-1.175
"37083",-0.896
"37087",2.096
"37093",-0.665
"37111",0.984
"37121",2.527
"37127",-0.866
"37155",-1.044
"37175",2.601
"37199",1.861
"38037",-1.673
"38085",-0.803
"38099",-0.137
"38105",-2.44
"39035",0.646
"39039",1.939
"39043",0.604
"39125",2.115
"40065",-2.959
"40079",-1.887
"40145",1.331
"41005",3.008
"41021",3.578
"41035",2.295
"41039",3.269
"41043",2.76
"41045",0.798
"41051",2.617
"41055",2.856
"42035",1.557
"42059",0.293
"42063",0.697
"42067",0.969
"42091",-0.505
"42111",1.079
"45005",-1.422
"45021",-0.283
"45025",-1.455
"45045",0.995
"45049",-1.492
"45053",-1.167
"45063",-1.593
"45091",-0.704
