county_code,score
"01005",3.037
"01023",-1.323
"01035",-0.86
"01051",-0.929
"01065",8.648
"01109",3.423
"01113",3.224
"01117",-0.437
"02016",-0.742
"04015",0.204
"05011",-1.311
"05015",0.496
"05019",0.605
"05025",-0.878
"05063",-0.503
"05067",-0.477
"05091",0.839
"05139",-1.233
"06001",1.163
"06003",0.309
"06023",0.986
"06033",1.298
"06037",0.154
"06057",0.539
"06081",1.332
"06085",0.99
"06115",0.818
"08013",0.56
"08029",4.015
"08059",0.495
"08091",4.261
"09009",0.374
"11001",0.265
"12009",-0.369
"12039",-0.847
"12055",-0.386
"12065",0.612
"12073",0.554
"12107",-0.097
"12117",-0.205
"12123",0.663
"12133",3.505
"13009",-1.07
"13013",0.247
"13027",0.67
"13073",-0.915
"13103",-0.849
"13149",-0.55
"13179",-0.509
"13189",-1.099
"13205",-0.744
"13229",-0.478
"13267",-0.921
"13291",-0.31
"13305",-0.722
"13319",-1.111
"15007",0.544
"16015",0.442
"16025",0.373
"16033",2.544
"16039",0.039
"16041",0.974
"16043",2.233
"16061",0.454
"16085",0.805
"17003",-0.775
"17031",-0.109
"17043",-0.096
"17097",0.114
"17115",0.017
"17161",0.485
"17197",-0.265
"18027",0.667
"18061",-0.015
"18123",-0.087
"18147",-0.13
"18157",0.498
"19041",2.033
"19045",0.777
"19111",-0.282
"19135",0.681
"20025",-1.231
"20067",-1.054
"20095",-0.086
"20199",-1.321
"21007",-0.627
"21017",-0.787
"21031",-0.776
"21065",-0.04
"21069",-1.208
"21099",-0.468
"21125",0.058
"21127",-0.952
"21131",-0.518
"21151",0.281
"21179",-0.173
"21189",-0.617
"21195",-0.319
"21217",-0.086
"21239",0.469
"22011",-0.992
"22013",-1.099
"22021",-0.826
"22029",-1.496
"22033",-1.144
"22069",-1.05
"22075",-0.385
"22077",-1.071
"22083",-0.966
"22087",-0.423
"22099",-0.971
"23015",2.225
"24003",0.233
"24033",0.226
"24043",0.254
"25011",1.475
"25017",1.018
"26099",0.683
"26135",1.114
"26147",0.746
"26153",2.069
"27053",0.955
"27077",0.54
"27089",-0.36
"27101",0.638
"27129",-0.107
"27139",0.581
"28007",8.743
"28105",8.584
"28143",-0.774
"28163",-0.95
"29023",-0.875
"29029",-0.108
"29031",-0.807
"29033",-0.407
"29157",-0.918
"29189",-0.006
"29199",-0.019
"29207",-0.914
"30013",-1.088
"30015",-1.057
"30023",-0.418
"30029",-0.36
"30047",-0.477
"30057",1.628
"30077",-0.518
"30087",-1.282
"30105",-1.18
"31059",-0.8
"31113",-1.11
"31171",-1.11
"34007",-0.231
"34013",-0.238
"34019",-0.115
"34023",-0.34
"34041",-0.119
"35021",-0.724
"35051",0.402
"36013",-0.406
"36019",1.448
"36029",-0.384
"36043",0.475
"36053",0.335
"36065",0.753
"36077",0.148
"36081",-0.208
"36115",1.583
"37027",0.051
"37055",-0.48
"37059",-0.407
"37069",-0.009
"37083",0.126
"37087",-0.157
"37093",-0.453
"37111",0.145
"37121",0.4
"37127",-0.227
"37155",-0.607
"37175",-0.168
"37199",0.226
"38037",-1.247
"38085",-1.247
"38099",-0.519
"38105",-1.345
"39035",-0.152
"39039",0.823
"39043",-0.453
"39125",0.448
"40065",-1.22
"40079",0.482
"40145",-0.071
"41005",2.551
"41021",2.479
"41035",0.839
"41039",2.11
"41043",2.532
"41045",0.578
"41051",2.713
"41055",2.001
"42035",-0.139
"42059",-0.37
"42063",-0.287
"42067",0.005
"42091",-0.131
"42111",-0.244
"45005",-1.045
"45021",-0.276
"45025",-0.698
"45045",-0.21
"45049",-1.017
"45053",-0.659
"45063",-0.861
"45091",-0.374
"46093",-1.047
"46095",-1.448
"46103",-1.106
"47005",-0.263
"47013",-0.56
"47019",0.33
"47029",-0.359
"47033",-0.914
"47049",-0.696
"47081",-0.372
"47097",-0.474
"47121",-0.357
"47149",0.018
"47159",-0.645
"48007",-0.399
"48025",-0.213
"48035",0.32
"48067",-0.566
"48083",0.116
"48091",0.93
"48103",0.053
"48139",-0.143
"48151",-1.333
"48167",-0.142
"48213",0.31
"48241",-0.812
"48245",-0.615
"48261",-0.742
"48333",0.814
"48347",-0.723
"48361",-0.814
"48371",-0.338
"48403",-0.897
"48427",-0.755
"48457",-0.68
"48469",-0.374
"48471",0.116
"48475",-0.384
"48477",-0.054
"48479",-0.392
"48499",-0.461
"49001",1.09
"49003",0.704
"49025",1.009
"49029",1.273
"49035",1.078
"49043",1.29
"51001",-0.417
"51015",1.074
"51037",0.656
"51053",-0.249
"51069",-0.099
"51109",-0.082
"51125",1.259
"51145",-0.303
"51161",-0.104
"51185",0.468
"51790",1.074
"53005",1.987
"53007",1.221
"53009",1.758
"53015",2.565
"53037",1.5
"53043",1.183
"53065",0.365
"54005",-0.709
"54017",-0.742
"54039",-0.93
"54045",-0.552
"54047",0.62
"54067",-0.394
"54081",0.427
"54107",-0.842
"55113",2.21
"56029",1.879
"56039",1.92
"56045",-0.878
"60010",-0.491
"60020",-0.491
"69100",-1.158
"69110",-1.158
"69120",-1.158
"72023",-1.97
"72037",-1.97
"72039",-1.97
"72053",-1.97
"72113",-1.97
"72115",-1.97
"78010",-1.97
"78020",-1.97
"01049",-0.387
"01069",3.373
"01087",-0.861
"01091",-1.454
"01095",-0.394
"01101",-1.006
"01115",-0.479
"01119",8.459
"01121",-0.69
"01131",-1.189
"02105",-0.321
"02240",-0.453
"04005",1.129
"04009",0.596
"04012",0.735
"04013",0.256
"04027",0.555
"05003",-0.813
"05007",0.756
"05061",1.557
"05075",-0.636
"05093",-0.642
"05095",-0.775
"05103",0.509
"05117",-0.637
"05131",0.932
"05133",1.453
"05147",-0.64
"06045",1.382
"06051",0.215
"06065",0.59
"06069",0.688
"06079",0.625
"06083",0.571
"06101",1.036
"06107",0.375
"08019",0.587
"08023",0.967
"08031",0.298
"08055",0.311
"19027",0.308
"19075",1.208
"19137",-0.01
"19157",1.309
"19163",0.47
"20017",-0.634
"20055",-0.491
"20143",-0.55
"21005",0.605
"21011",-1.238
"21025",-0.995
"21029",-0.189
"21043",-1.252
"21049",-0.331
"21071",-0.523
"21085",-0.933
"21095",-0.088
"21105",-0.486
"21109",0.053
"21119",-0.186
"21121",-0.408
"21135",-1.007
"21153",-1.158
"21159",-0.777
"21167",0.795
"21177",-0.94
"21181",-0.816
"21193",-0.547
"21231",-0.352
"22035",-0.918
"22039",-0.92
"22053",-0.86
"22055",-0.997
"22067",-0.84
"22079",-1.154
"22103",-0.273
"22111",-1.136
"22127",-1.073
"23007",2.672
"23017",2.248
"23027",2.595
"23031",1.848
"24001",0.007
"24005",0.281
"24017",-0.049
"24021",0.417
"24031",0.283
"24041",-0.033
"24045",-0.341
"25005",0.729
"25023",0.711
"25025",0.964
"26033",1.854
"26063",0.078
"26083",1.181
"26097",1.854
"26115",0.481
"08093",0.432
"08105",4.447
"08113",4.128
"09001",-0.05
"09007",0.6
"10005",-0.349
"12001",-0.345
"12017",-0.022
"12033",-0.786
"12041",0.804
"12047",0.426
"12071",-0.416
"12086",-0.436
"12093",-0.367
"12097",-0.384
"13021",-0.926
"13029",-0.606
"13039",-0.36
"13051",-0.691
"13077",-0.371
"13133",-0.38
"13137",0.112
"13143",-0.639
"13157",0.247
"13163",-1.01
"13171",-0.991
"13181",-0.711
"13185",0.604
"13195",0.21
"13221",-0.085
"13237",-0.574
"13245",-1.107
"13251",-1.006
"13269",-1.068
"13283",-1.201
"51007",0.377
"13303",-1.163
"13309",-1.476
"13313",-0.417
"13317",-0.461
"15001",0.881
"16005",2.236
"16073",0.219
"16077",1.025
"16081",2.088
"16083",0.355
"17017",-0.71
"17027",-0.011
"17047",-0.405
"17109",-0.595
"17129",-0.632
"17175",-0.527
"17185",-0.16
"18009",-0.049
"18035",-0.155
"18067",0.295
"18083",0.436
"18159",-0.091
"18179",0.249
"35055",0.503
"36025",0.13
"36105",0.123
"36119",-0.226
"36123",0.195
"37013",-0.404
"37017",-0.464
"37023",0.372
"37057",-0.524
"37061",-0.356
"37065",-0.567
"37075",-0.258
"37085",-0.1
"37089",0.017
"37119",-0.569
"37129",-0.54
"37133",-0.404
"37137",-0.306
"37143",-0.608
"37149",0.023
"37153",-0.476
"37161",-0.041
"37167",-0.412
"38005",-1.145
"38033",-1.414
"38053",-1.345
"38059",-1.318
"38067",-0.709
"38071",-1.033
"38077",-0.948
"39061",-0.338
"39095",0.243
"39137",0.077
"39175",-0.479
"40013",0.039
"40027",1.072
"40057",-1.394
"40067",-0.36
"40075",-1.16
"40087",0.99
"40095",0.199
"40125",0.971
"40135",0.664
"27011",-1.004
"27027",0.024
"27031",0.897
"27061",2.12
"27073",-0.657
"27075",2.036
"27085",0.239
"27097",2.329
"27127",-0.475
"27171",0.508
"28011",-0.91
"28029",-1.233
"28039",-0.613
"28055",-0.904
"28083",-1.078
"28087",8.417
"28103",8.56
"28121",-1.167
"28141",-0.861
"28149",-1.12
"28151",-1.023
"29041",-0.548
"29069",-0.464
"29099",0.062
"29113",-0.066
"29159",-0.06
"29183",0.326
"29195",-0.179
"29201",-0.967
"30011",-1.191
"30027",-1.128
"30031",0.517
"30045",-0.897
"30049",-0.806
"30055",-1.556
"30059",-1.119
"30073",-0.937
"30085",-1.456
"30099",-0.839
"31069",-1.065
"31103",-1.465
"31151",-0.43
"32001",-0.08
"32015",-0.594
"32027",-0.125
"33007",2.224
"33015",1.414
"33017",1.733
"34001",-0.189
"34015",-0.202
"34021",-0.247
"34029",-0.332
"35031",1.289
"35039",1.219
"48425",0.363
"48443",-0.38
"48449",-0.387
"48453",0.958
"48459",-0.667
"48473",-0.186
"48491",0.599
"49045",1.684
"49047",1.244
"49051",2.005
"50017",1.435
"51003",1.191
"51009",2.061
"51017",0.881
"51023",0.178
"51033",-0.144
"51047",-0.361
"51073",-0.326
"51077",0.975
"51095",-0.41
"51097",-0.654
