county_code,score
"01005",-1.253
"01023",-2.406
"01035",-1.181
"01051",-1.858
"01065",-1.495
"01109",-1.819
"01113",-1.23
"01117",-1.776
"02016",-2.122
"04015",0.925
"05011",-2.429
"05015",-0.682
"05019",-2.497
"05025",-1.956
"05063",-1.765
"05067",-2.163
"05091",-2.243
"05139",-2.16
"06001",4.986
"06003",-0.569
"06023",1.278
"06033",3.557
"06037",3.302
"06057",0.367
"06081",4.6
"06085",4.122
"06115",0.804
"08013",1.989
"08029",1.08
"08059",2.753
"08091",0.564
"09009",5.669
"11001",6.687
"12009",1.648
"12039",-1.283
"12055",1.846
"12065",-1.323
"12073",-1.394
"12107",1.395
"12117",2.008
"12123",-0.918
"12133",-1.578
"13009",0.577
"13013",1.262
"13027",-1.317
"13073",0.947
"13103",-1.186
"13149",-0.196
"13179",-1.085
"13189",0.947
"13205",-1.19
"13229",-2.229
"13267",-2.176
"13291",1.18
"13305",-1.919
"13319",1.116
"15007",2.557
"16015",-0.984
"16025",-0.575
"16033",2.646
"16039",-0.575
"16041",1.125
"16043",2.237
"16061",0.589
"16085",-1.107
"17003",-1.477
"17031",2.112
"17043",2.663
"17097",3.318
"17115",0.703
"17161",2.383
"17197",1.351
"18027",0.68
"18061",0.268
"18123",-0.498
"18147",-0.599
"18157",1.616
"19041",-2.454
"19045",2.834
"19111",1.439
"19135",1.541
"20025",-1.988
"20067",-1.988
"20095",-0.808
"20199",-2.477
"21007",-1.653
"21017",-0.679
"21031",-1.923
"21065",-1.265
"21069",-1.621
"21099",-2.274
"21125",-1.19
"21127",-1.543
"21131",-1.312
"21151",-1.103
"21179",-0.446
"21189",-1.489
"21195",-1.728
"21217",-1.95
"21239",-0.617
"22011",-1.785
"22013",-2.269
"22021",-2.331
"22029",-2.228
"22033",-1.403
"22069",-2.111
"22075",-0.096
"22077",-0.951
"22083",-2.538
"22087",-0.135
"22099",-0.912
"23015",4.249
"24003",6.834
"24033",6.914
"24043",3.06
"25011",6.792
"25017",5.954
"26099",2.571
"26135",-0.094
"26147",2.653
"26153",-0.606
"27053",4.025
"27077",-1.681
"27089",-1.865
"27101",-2.049
"27129",0.077
"27139",4.826
"28007",-2.134
"28105",-1.98
"28143",-2.018
"28163",-2.181
"29023",-2.613
"29029",-0.281
"29031",-1.575
"29033",-0.82
"29157",-1.76
"29189",-0.069
"29199",0.167
"29207",-2.212
"30013",-0.4
"30015",-1.142
"30023",1.248
"30029",-0.687
"30047",-0.283
"30057",3.12
"30077",2.047
"30087",-1.979
"30105",-1.847
"31059",-1.323
"31113",-2.65
"31171",-2.524
"34007",4.732
"34013",4.478
"34019",4.782
"34023",4.202
"34041",4.561
"35021",-1.887
"35051",-1.26
"36013",1.991
"36019",5.916
"36029",1.941
"36043",3.727
"36053",4.328
"36065",4.342
"36077",4.155
"36081",4.287
"36115",5.246
"37027",1.784
"37055",0.115
"37059",0.46
"37069",1.533
"37083",-0.368
"37087",3.076
"37093",0.452
"37111",2.318
"37121",2.686
"37127",0.963
"37155",0.427
"37175",2.12
"37199",2.393
"38037",-1.824
"38085",-1.824
"38099",-2.287
"38105",-0.468
"39035",2.147
"39039",0.458
"39043",1.237
"39125",0.43
"40065",-2.484
"40079",-1.447
"40145",-0.95
"41005",3.207
"41021",1.372
"41035",1.403
"41039",4.291
"41043",3.504
"41045",-0.987
"41051",2.747
"41055",1.234
"42035",2.704
"42059",0.814
"42063",3.151
"42067",3.538
"42091",4.696
"42111",1.335
"45005",-0.814
"45021",1.523
"45025",0.869
"45045",1.668
"45049",-0.702
"45053",-0.638
"45063",-0.536
"45091",1.055
"46093",-2.328
"46095",-2.682
"46103",-2.412
"47005",-1.793
"47013",0.072
"47019",1.718
"47029",1.572
"47033",-2.587
"47049",-0.316
"47081",-0.772
"47097",-2.187
"47121",0.025
"47149",-0.139
"47159",-0.59
"48007",-1.835
"48025",-1.742
"48035",-0.948
"48067",-1.502
"48083",-2.353
"48091",4.72
"48103",-2.445
"48139",1.089
"48151",-2.492
"48167",-0.044
"48213",-0.299
"48241",-1.951
"48245",-1.036
"48261",-1.868
"48333",-1.602
"48347",-2.21
"48361",-1.602
"48371",-2.271
"48403",-2.448
"48427",-1.868
"48457",-2.109
"48469",-1.394
"48471",-0.085
"48475",-2.445
"48477",0.463
"48479",-2.538
"48499",-0.599
"49001",1.344
"49003",1.169
"49025",-0.759
"49029",1.721
"49035",1.678
"49043",2.503
"51001",1.738
"51015",1.217
"51037",1.514
"51053",-1.369
"51069",1.135
"51109",1.228
"51125",2.742
"51145",0.225
"51161",3.033
"51185",-0.661
"51790",1.217
"53005",0.45
"53007",2.729
"53009",4.433
"53015",3.475
"53037",1.742
"53043",1.201
"53065",0.469
"54005",-1.432
"54017",0.096
"54039",-0.953
"54045",-1.611
"54047",-1.532
"54067",-1.26
"54081",-1.292
"54107",-0.586
"55113",-1.056
"56029",2.129
"56039",2.363
"56045",-2.512
"60010",1.457
"60020",1.457
"69100",-1.412
"69110",-1.412
"69120",-1.412
"72023",-2.809
"72037",-2.809
"72039",-2.809
"72053",-2.809
"72113",-2.809
"72115",-2.809
"78010",-2.809
"78020",-2.809
"01049",-0.852
"01069",-1.968
"01087",-1.184
"01091",-2.644
"01095",-1.415
"01101",-1.951
"01115",-1.763
"01119",-2.121
"01121",-1.807
"01131",-2.634
"02105",-1.659
"02240",-1.659
"04005",-0.02
"04009",-0.996
"04012",2.457
"04013",0.198
"04027",2.393
"05003",-2.384
"05007",-0.972
"05061",-1.677
"05075",-2.569
"05093",-2.364
"05095",-1.641
"05103",-2.809
"05117",-1.457
"05131",-1.122
"05133",-1.583
"05147",-1.473
"06045",3.183
"06051",-1.026
"06065",3.926
"06069",3.365
"06079",3.845
"06083",4.375
"06101",1.47
"06107",1.927
"08019",3.59
"08023",-1.461
"08031",1.805
"08055",-1.322
"19027",-2.34
"19075",-1.63
"19137",-0.267
"19157",2.952
"19163",2.933
"20017",0.744
"20055",-1.988
"20143",-1.355
"21005",-0.03
"21011",-1.149
"21025",-1.892
"21029",-0.391
"21043",-1.777
"21049",-0.944
"21071",-1.722
"21085",-2.176
"21095",-1.014
"21105",-1.911
"21109",-1.204
"21119",-1.7
"21121",-1.431
"21135",-1.634
"21153",-1.708
"21159",-1.637
"21167",-0.775
"21177",-1.73
"21181",-1.043
"21193",-1.558
"21231",-1.376
"22035",-2.354
"22039",-1.205
"22053",-1.306
"22055",-1.02
"22067",-2.538
"22079",-1.857
"22103",-0.487
"22111",-2.331
"22127",-2.444
"23007",4.903
"23017",5.007
"23027",3.796
"23031",6.077
"24001",0.945
"24005",6.432
"24017",5.712
"24021",5.921
"24031",6.894
"24041",5.084
"24045",2.763
"25005",6.489
"25023",6.076
"25025",6.505
"26033",-0.112
"26063",0.508
"26083",-1.921
"26097",0.156
"26115",2.043
"08093",2.824
"08105",-1.028
"08113",0.564
"09001",4.806
"09007",6.144
"10005",3.323
"12001",0.564
"12017",1.922
"12033",-0.936
"12041",-0.254
"12047",-1.487
"12071",1.909
"12086",1.72
"12093",2.007
"12097",1.768
"13021",-1.451
"13029",-1.085
"13039",-1.272
"13051",-1.009
"13077",0.338
"13133",2.133
"13137",0.756
"13143",-0.316
"13157",1.024
"13163",0.786
"13171",-0.864
"13181",1.28
"13185",-1.562
"13195",0.392
"13221",2.127
"13237",1.666
"13245",0.789
"13251",-0.959
"13269",-1.048
"13283",-2.199
"51007",-0.441
"13303",0.539
"13309",-1.989
"13313",0.134
"13317",2.035
"15001",4.199
"16005",1.445
"16073",-0.387
"16077",1.955
"16081",2.363
"16083",-0.326
"17017",0.834
"17027",-0.403
"17047",-1.368
"17109",0.592
"17129",0.978
"17175",3.341
"17185",-0.96
"18009",0.469
"18035",0.328
"18067",1.451
"18083",-0.681
"18159",1.741
"18179",-0.012
"35055",-1.189
"36025",3.857
"36105",3.724
"36119",4.352
"36123",4.474
"37013",-0.182
"37017",0.72
"37023",2.233
"37057",1.353
"37061",0.779
"37065",0.359
"37075",1.985
"37085",1.615
"37089",2.841
"37119",1.043
"37129",0.665
"37133",0.964
"37137",-0.289
"37143",-0.259
"37149",2.231
"37153",0.649
"37161",2.077
"37167",1.239
"38005",-2.061
"38033",-1.857
"38053",-0.468
"38059",-1.824
"38067",-2.287
"38071",-2.287
"38077",-1.478
"39061",1.22
"39095",0.843
"39137",0.511
"39175",0.896
"40013",-0.749
"40027",-1.125
"40057",-2.658
"40067",-1.318
"40075",-2.21
"40087",-0.974
"40095",-0.605
"40125",-1.19
"40135",-0.763
"27011",-1.212
"27027",-1.749
"27031",-1.082
"27061",-1.678
"27073",-0.987
"27075",-1.164
"27085",2.626
"27097",0.928
"27127",-2.425
"27171",2.383
"28011",-2.655
"28029",-1.96
"28039",-0.836
"28055",-2.036
"28083",-2.655
"28087",-1.732
"28103",-1.763
"28121",-1.849
"28141",-2.186
"28149",-1.689
"28151",-2.384
"29041",-0.811
"29069",-2.569
"29099",-0.765
"29113",-0.521
"29159",0.311
"29183",-0.59
"29195",-0.03
"29201",-2.046
"30011",-2.438
"30027",-2.095
"30031",1.172
"30045",-0.258
"30049",0.321
"30055",-2.047
"30059",0.263
"30073",0.038
"30085",-1.103
"30099",0.338
"31069",-2.548
"31103",-2.682
"31151",-0.408
"32001",-0.695
"32015",-1.383
"32027",-0.507
"33007",5.899
"33015",6.85
"33017",7.385
"34001",4.06
"34015",4.375
"34021",4.78
"34029",4.287
"35031",-0.756
"35039",-0.554
"48425",-0.808
"48443",-2.132
"48449",-0.735
"48453",4.294
"48459",-0.774
"48473",0.454
"48491",5.166
"49045",1.866
"49047",0.399
"49051",2.001
"50017",7.515
"51003",1.221
"51009",2.076
"51017",-0.086
"51023",1.606
"51033",0.801
"51047",2.641
"51073",0.258
"51077",0.258
"51095",0.139
"51097",0.041
"51107",6.74
"51111",-0.292
"51121",0.154
"51127",0.181
"51139",1.946
"51163",0.827
"51175",-0.108
"51179",4.906
"51191",1.06
"51195",-0.879
"53049",3.704
"53057",4.281
"53061",4.405
"53077",1.684
"54003",2.465
"54007",-0.755
"54019",-0.92
"54027",0.634
