county_code,score
"01005",-1.261
"01023",-1.49
"01035",-0.914
"01051",-1.296
"01065",-1.21
"01109",-1.377
"01113",-0.859
"01117",-1.201
"02016",-0.936
"04015",3.777
"05011",-1.541
"05015",0.391
"05019",-1.45
"05025",-1.298
"05063",-1.076
"05067",-1.233
"05091",-1.388
"05139",-1.486
"06001",1.282
"06003",-0.689
"06023",0.484
"06033",1.08
"06037",7.494
"06057",-0.436
"06081",1.177
"06085",1.046
"06115",-0.229
"08013",0.998
"08029",0.107
"08059",1.538
"08091",-0.425
"09009",14.298
"11001",1.765
"12009",0.133
"12039",-0.61
"12055",0.149
"12065",-0.765
"12073",-0.896
"12107",2.084
"12117",0.135
"12123",1.712
"12133",-0.591
"13009",-0.823
"13013",0.082
"13027",-0.909
"13073",2.024
"13103",-0.494
"13149",-0.479
"13179",-0.121
"13189",1.394
"13205",-1.094
"13229",-0.553
"13267",-0.687
"13291",0.199
"13305",-0.694
"13319",-1.107
"15007",0.801
"16015",-0.073
"16025",0.161
"16033",0.011
"16039",0.161
"16041",0.859
"16043",-0.224
"16061",3.441
"16085",-1.039
"17003",-1.169
"17031",0.268
"17043",0.59
"17097",0.361
"17115",-0.665
"17161",-0.215
"17197",0.087
"18027",0.102
"18061",0.161
"18123",-0.399
"18147",-0.37
"18157",-0.059
"19041",-1.521
"19045",-0.288
"19111",-1.099
"19135",-0.855
"20025",-1.459
"20067",-1.426
"20095",-1.113
"20199",-1.491
"21007",-1.265
"21017",1.178
"21031",-1.226
"21065",1.118
"21069",1.075
"21099",-1.214
"21125",-0.749
"21127",-0.821
"21131",-1.06
"21151",1.091
"21179",-0.547
"21189",1.053
"21195",-0.942
"21217",-0.917
"21239",-0.663
"22011",-1.283
"22013",-1.418
"22021",-1.41
"22029",-1.224
"22033",-0.828
"22069",-1.355
"22075",-0.864
"22077",-0.62
"22083",-1.541
"22087",-0.864
"22099",-0.728
"23015",4.923
"24003",1.824
"24033",2.004
"24043",0.424
"25011",3.926
"25017",5.043
"26099",0.387
"26135",-0.252
"26147",0.487
"26153",0.827
"27053",0.649
"27077",-0.45
"27089",-1.038
"27101",-1.353
"27129",-1.073
"27139",0.545
"28007",-1.383
"28105",-1.404
"28143",-0.927
"28163",-1.335
"29023",-1.418
"29029",-0.694
"29031",-1.187
"29033",-0.547
"29157",-0.846
"29189",-0.981
"29199",-1.28
"29207",-1.418
"30013",-0.547
"30015",-0.901
"30023",4.568
"30029",3.132
"30047",3.459
"30057",0.461
"30077",4.654
"30087",-0.3
"30105",-1.399
"31059",-0.525
"31113",-1.414
"31171",-1.414
"34007",8.949
"34013",24.701
"34019",18.071
"34023",21.756
"34041",20.016
"35021",-1.285
"35051",-1.132
"36013",2.01
"36019",4.757
"36029",2.383
"36043",1.192
"36053",2.129
"36065",1.864
"36077",5.581
"36081",25.854
"36115",2.921
"37027",0.373
"37055",-0.695
"37059",-0.213
"37069",-0.18
"37083",-0.901
"37087",1.019
"37093",-0.537
"37111",0.754
"37121",0.572
"37127",-0.553
"37155",-0.457
"37175",0.175
"37199",0.605
"38037",-1.293
"38085",-1.293
"38099",-1.336
"38105",-1.367
"39035",0.144
"39039",-0.018
"39043",0.435
"39125",-0.146
"40065",-0.109
"40079",-1.287
"40145",-0.91
"41005",1.244
"41021",-0.075
"41035",0.462
"41039",1.447
"41043",1.176
"41045",-0.018
"41051",1.005
"41055",0.125
"42035",0.053
"42059",-0.48
"42063",0.07
"42067",0.695
"42091",8.464
"42111",-0.205
"45005",-0.464
"45021",0.207
"45025",0.005
"45045",0.351
"45049",-0.403
"45053",-0.339
"45063",2.559
"45091",0.135
"46093",-1.463
"46095",-1.266
"46103",-1.463
"47005",-0.962
"47013",-0.366
"47019",0.456
"47029",0.388
"47033",-1.334
"47049",-0.821
"47081",-0.644
"47097",-1.3
"47121",-0.224
"47149",-0.605
"47159",-0.84
"48007",-1.249
