county_code,score
"01005",-1.497
"01023",-2.067
"01035",1.4
"01051",-1.325
"01065",-1.973
"01109",0.552
"01113",-1.577
"01117",-1.153
"02016",-0.961
"04015",1.09
"05011",-2.166
"05015",1.616
"05019",-0.799
"05025",-1.598
"05063",-1.581
"05067",-1.874
"05091",-0.185
"05139",-1.377
"06001",3.116
"06003",0.822
"06023",2.693
"06033",3.025
"06037",2.768
"06057",1.18
"06081",3.077
"06085",3.014
"06115",1.583
"08013",2.064
"08029",1.418
"08059",1.945
"08091",1.404
"09009",1.119
"11001",1.472
"12009",1.029
"12039",-0.723
"12055",0.828
"12065",-0.341
"12073",-0.397
"12107",2.21
"12117",1.159
"12123",0.484
"12133",1.414
"13009",-0.77
"13013",0.762
"13027",-0.327
"13073",-0.147
"13103",-0.176
"13149",0.212
"13179",0.3
"13189",-0.268
"13205",-0.941
"13229",-0.668
"13267",-0.592
"13291",1.872
"13305",-0.224
"13319",-0.502
"15007",2.727
"16015",0.26
"16025",0.083
"16033",1.758
"16039",0.776
"16041",0.741
"16043",1.484
"16061",-0.709
"16085",-0.592
"17003",-1.616
"17031",0.958
"17043",0.95
"17097",1.368
"17115",-0.642
"17161",1.257
"17197",0.209
"18027",1.54
"18061",0.553
"18123",0.558
"18147",0.966
"18157",1.547
"19041",-0.766
"19045",3.253
"19111",-0.917
"19135",-0.09
"20025",-1.618
"20067",-1.071
"20095",-0.449
"20199",-1.779
"21007",-1.5
"21017",-1.048
"21031",-0.913
"21065",-1.342
"21069",-1.725
"21099",-1.43
"21125",-1.149
"21127",-1.575
"21131",-1.242
"21151",-1.368
"21179",-0.183
"21189",-1.206
"21195",-1.48
"21217",-1.275
"21239",0.047
"22011",-1.102
"22013",-1.34
"22021",-1.653
"22029",-1.418
"22033",-0.997
"22069",-1.16
"22075",-0.352
"22077",-0.498
"22083",-2.143
"22087",-0.308
"22099",-0.352
"23015",2.273
"24003",1.296
"24033",1.252
"24043",0.994
"25011",1.186
"25017",0.822
"26099",1.312
"26135",0.518
"26147",1.362
"26153",0.155
"27053",2.461
"27077",-0.509
"27089",-0.427
"27101",-0.291
"27129",0.788
"27139",2.298
"28007",-1.792
"28105",-2.216
"28143",-1.434
"28163",-1.567
"29023",-2.2
"29029",-0.251
"29031",-1.714
"29033",-1.036
"29157",-1.676
"29189",-1.19
"29199",-1.025
"29207",-2.173
"30013",-0.71
"30015",-0.985
"30023",-0.18
"30029",-0.677
"30047",-0.941
"30057",1.178
"30077",0.163
"30087",-1.641
"30105",-1.227
"31059",-0.844
"31113",-1.347
"31171",-1.098
"34007",1.127
"34013",0.856
"34019",1.149
"34023",0.804
"34041",1.19
"35021",-0.356
"35051",-0.89
"36013",-0.225
"36019",3.055
"36029",0.016
"36043",0.535
"36053",0.693
"36065",0.63
"36077",0.541
"36081",0.885
"36115",0.766
"37027",0.607
"37055",0.011
"37059",0.758
"37069",0.841
"37083",0.172
"37087",1.385
"37093",0.793
"37111",0.516
"37121",0.606
"37127",0.703
"37155",0.664
"37175",1.33
"37199",0.422
"38037",-0.468
"38085",-0.571
"38099",-1.693
"38105",-0.224
"39035",0.496
"39039",1.093
"39043",0.357
"39125",1.28
"40065",-1.606
"40079",-0.023
"40145",0.657
"41005",3.041
"41021",1.977
"41035",1.837
"41039",3.282
"41043",2.656
"41045",0.767
"41051",2.777
"41055",2.01
"42035",0.37
"42059",-0.28
"42063",0.348
"42067",0.712
"42091",1.082
"42111",0.592
"45005",-0.543
"45021",0.283
"45025",0.53
"45045",0.219
"45049",-0.411
"45053",-0.218
"45063",-0.095
"45091",0.289
"46093",-1.77
"46095",-2.137
"46103",-1.949
"47005",-0.519
"47013",-0.595
"47019",0.47
"47029",0.177
"47033",-1.681
"47049",-0.521
"47081",-0.304
"47097",-1.696
"47121",-0.167
"47149",0.157
"47159",-0.438
"48007",-1.437
"48025",-1.439
"48035",1.196
"48067",0.444
"48083",-1.593
"48091",0.579
"48103",-1.587
"48139",1.172
"48151",-2.025
"48167",-0.038
"48213",0.107
"48241",-1.075
"48245",-0.319
"48261",-1.39
"48333",-0.038
"48347",-1.032
"48361",-0.925
"48371",-1.753
"48403",-1.516
"48427",-1.254
"48457",-1.255
"48469",-1.095
"48471",-0.274
"48475",-1.587
"48477",-0.282
"48479",-1.498
"48499",0.509
"49001",1.187
"49003",1.07
"49025",0.522
"49029",0.604
"49035",0.886
"49043",1.849
"51001",1.046
"51015",-0.46
"51037",0.547
"51053",-0.962
"51069",0.44
"51109",0.342
"51125",-0.242
"51145",-0.454
"51161",0.74
"51185",0.523
"51790",-0.46
"53005",1.233
"53007",2.756
"53009",2.494
"53015",2.705
"53037",2.727
"53043",1.67
"53065",0.836
"54005",-1.167
"54017",-0.747
"54039",-1.257
"54045",-1.27
"54047",-1.112
"54067",-1.138
"54081",-0.435
"54107",-1.089
"55113",-0.107
"56029",0.4
"56039",0.842
"56045",-2.258
"60010",1.616
"60020",1.616
"69100",0.331
"69110",0.331
"69120",0.331
"72023",-2.496
"72037",-2.496
"72039",-2.496
"72053",-2.496
"72113",-2.496
"72115",-2.496
"78010",-2.496
"78020",-2.496
"01049",-0.192
"01069",-1.185
"01087",-1.387
"01091",-2.412
"01095",-0.223
"01101",0.405
"01115",-0.755
"01119",-2.293
"01121",-1.164
"01131",0.078
"02105",0.648
"02240",0.735
"04005",0.365
"04009",-0.81
"04012",2.222
"04013",0.485
"04027",1.532
"05003",-2.143
"05007",2.936
"05061",-0.571
"05075",-1.922
"05093",-1.83
"05095",-1.723
"05103",-1.414
"05117",-1.122
"05131",0.275
"05133",0.021
"05147",-1.187
"06045",2.73
"06051",0.929
"06065",2.645
"06069",2.952
"06079",3.184
"06083",3.293
"06101",1.95
"06107",2.087
"08019",2.202
"08023",0.24
"08031",1.467
"08055",0.807
"19027",-0.622
"19075",6.087
"19137",0.113
"19157",1.489
"19163",1.301
"20017",0.498
"20055",-0.857
"20143",-1.634
"21005",0.262
"21011",-1.62
"21025",-1.556
"21029",0.922
"21043",-1.495
"21049",-1.212
"21071",-1.569
"21085",-1.031
"21095",-0.981
"21105",-1.321
"21109",-1.261
"21119",-1.478
"21121",-1.314
"21135",-1.444
"21153",-1.741
"21159",-1.518
"21167",-0.757
"21177",-1.045
"21181",-1.271
"21193",-1.393
"21231",-1.256
"22035",-2.018
"22039",-0.457
"22053",-0.412
"22055",-0.595
"22067",-2.143
"22079",-1.188
"22103",-0.776
"22111",-1.293
"22127",-1.114
"23007",2.599
"23017",2.844
"23027",2.089
"23031",1.344
"24001",0.714
"24005",1.193
"24017",1.185
"24021",0.954
"24031",1.273
"24041",1.231
"24045",1.772
"25005",1.5
"25023",1.47
"25025",1.323
"26033",-0.321
"26063",0.663
"26083",-1.016
"26097",0.284
"26115",0.804
"08093",1.958
"08105",0.324
"08113",1.083
"09001",0.878
"09007",1.122
"10005",1.029
"12001",1.705
"12017",2.423
"12033",1.832
"12041",1.559
"12047",1.109
"12071",0.791
"12086",0.866
"12093",0.866
"12097",0.98
"13021",0.036
"13029",-0.112
"13039",0.552
"13051",-0.086
"13077",0.448
"13133",0.071
"13137",1.365
"13143",-0.302
"13157",0.82
"13163",-0.844
"13171",0.178
"13181",0.458
"13185",-0.03
"13195",0.119
"13221",-0.083
"13237",0.081
"13245",-0.235
"13251",-0.279
"13269",-0.569
"13283",-0.964
"51007",0.14
"13303",-1.007
"13309",-0.608
"13313",0.438
"13317",-0.141
"15001",3.576
"16005",0.65
"16073",1.708
"16077",0.817
"16081",1.422
"16083",0.362
"17017",-1.189
"17027",-0.514
"17047",-0.135
"17109",-0.851
"17129",-0.697
"17175",-0.094
"17185",1.499
"18009",0.322
"18035",0.264
"18067",2.027
"18083",1.101
"18159",2.251
"18179",0.769
"35055",-0.156
"36025",0.58
"36105",0.963
"36119",0.814
"36123",0.489
"37013",0.12
"37017",0.966
"37023",0.617
"37057",0.855
"37061",0.912
"37065",0.585
"37075",1.714
"37085",1.006
"37089",0.578
"37119",0.566
"37129",0.756
"37133",0.832
"37137",0.128
"37143",-0.343
"37149",0.266
"37153",0.8
"37161",0.396
"37167",0.711
"38005",-1.38
"38033",-0.859
"38053",-0.336
"38059",-0.468
"38067",-1.693
"38071",-2.103
"38077",-1.029
"39061",-0.38
"39095",0.692
"39137",0.856
"39175",0.411
"40013",-1.154
"40027",-1.129
"40057",-1.739
"40067",-1.233
"40075",-1.913
"40087",-0.959
"40095",-1.095
"40125",-1.226
"40135",0.661
"27011",-1.555
"27027",-0.55
"27031",-1.238
"27061",-0.78
"27073",-0.757
"27075",-1.092
"27085",2.628
"27097",1.124
"27127",-0.974
"27171",2.954
"28011",-1.608
"28029",-0.593
"28039",-0.921
"28055",-1.489
"28083",-1.608
"28087",-2.098
"28103",-2.14
"28121",-0.333
"28141",-1.81
"28149",-0.293
"28151",-1.875
"29041",-1.426
"29069",-2.122
"29099",-1.455
"29113",4.74
"29159",-1.048
