county_code,score
"01005",-0.685
"01023",-0.572
"01035",-0.119
"01051",0.284
"01065",-0.51
"01109",-0.434
"01113",-0.694
"01117",-0.127
"02016",-1.704
"04015",-0.624
"05011",-1.44
"05015",-0.869
"05019",-1.84
"05025",-1.451
"05063",-1.717
"05067",-1.59
"05091",-1.522
"05139",-1.577
"06001",3.071
"06003",-0.512
"06023",0.313
"06033",2.347
"06037",0.74
"06057",-0.409
"06081",3.162
"06085",2.699
"06115",-0.023
"08013",0.492
"08029",0.551
"08059",0.878
"08091",0.044
"09009",4.582
"11001",5.383
"12009",0.373
"12039",-0.169
"12055",0.68
"12065",-0.148
"12073",0.113
"12107",1.219
"12117",0.291
"12123",0.453
"12133",-0.598
"13009",-0.861
"13013",7.88
"13027",-0.185
"13073",-0.456
"13103",1.887
"13149",1.905
"13179",1.58
"13189",4.687
"13205",-0.166
"13229",0.584
"13267",0.063
"13291",1.374
"13305",1.224
"13319",-0.855
"15007",1.536
"16015",-1.324
"16025",-1.324
"16033",0.219
"16039",-1.324
"16041",-0.579
"16043",0.39
"16061",-1.034
"16085",-1.129
"17003",-1.481
"17031",1
"17043",0.626
"17097",0.909
"17115",0.062
"17161",-0.003
"17197",1.03
"18027",0.749
"18061",-0.54
"18123",-0.856
"18147",-0.999
"18157",-0.589
"19041",-0.107
"19045",-0.402
"19111",1.396
"19135",0.438
"20025",-1.937
"20067",-1.937
"20095",-1.456
"20199",-1.937
"21007",-1.311
"21017",-1.202
"21031",-1.29
"21065",-1.459
"21069",-1.603
"21099",-1.4
"21125",-1.577
"21127",-0.36
"21131",-1.421
"21151",-1.443
"21179",-0.708
"21189",-1.544
"21195",-1.213
"21217",-1.268
"21239",-0.9
"22011",-0.893
"22013",-1.293
"22021",-0.85
"22029",-0.352
"22033",-0.766
"22069",-0.991
"22075",-0.328
"22077",-0.381
"22083",-0.977
"22087",-0.089
"22099",-0.608
"23015",3.521
"24003",5.061
"24033",5.549
"24043",1.776
"25011",4.613
"25017",3.093
"26099",0.502
"26135",1.153
"26147",1.345
"26153",3.062
"27053",0.648
"27077",-0.474
"27089",-0.684
"27101",-0.462
"27129",-1.494
"27139",0.64
"28007",-0.769
"28105",-1.495
"28143",1.343
"28163",-1.277
"29023",-1.352
"29029",-1.592
"29031",-1.648
"29033",-1.499
"29157",-1.483
"29189",0.54
"29199",0.836
"29207",-1.352
"30013",-1.249
"30015",-1.758
"30023",0.49
"30029",-0.968
"30047",-0.574
"30057",0.279
"30077",0.413
"30087",-0.807
"30105",-1.796
"31059",-1.35
"31113",-1.937
"31171",-1.937
"34007",2.343
"34013",3.679
"34019",2.89
"34023",3.148
"34041",2.433
"35021",-1.096
"35051",-0.684
"36013",-0.057
"36019",4.703
"36029",-0.047
"36043",1.977
"36053",5.868
"36065",3.843
"36077",2.385
"36081",3.771
"36115",4.657
"37027",-0.174
"37055",2.308
"37059",-0.243
"37069",0.83
"37083",-0.037
"37087",0.611
"37093",0.023
"37111",-0.203
"37121",-0.267
"37127",0.58
"37155",0.579
"37175",0.911
"37199",-0.397
"38037",-1.435
"38085",-1.753
"38099",-0.92
"38105",-1.621
"39035",0.017
"39039",-0.524
"39043",0.139
"39125",0.507
"40065",-1.562
"40079",-1.28
"40145",-0.583
"41005",2.164
"41021",0.384
"41035",-0.277
"41039",1.678
"41043",1.941
"41045",-1.346
"41051",2.096
"41055",0.346
"42035",-0.274
"42059",-0.083
"42063",-0.29
"42067",0.743
"42091",2.362
"42111",-0.155
"45005",0.457
"45021",0.672
"45025",1.02
"45045",1.168
"45049",1.014
"45053",2.242
"45063",0.919
"45091",0.566
"46093",-1.461
"46095",-1.65
"46103",-1.461
"47005",-0.163
"47013",-1.189
"47019",-0.697
"47029",0.281
"47033",1.708
"47049",-1.334
"47081",0.042
"47097",1.062
"47121",0.098
"47149",1.295
"47159",-1.173
"48007",-0.268
"48025",-0.315
"48035",-0.082
"48067",-0.881
"48083",-1.551
"48091",0.937
"48103",-1.811
"48139",0.002
"48151",-1.494
