county_code,score
"01005",-1.694
"01023",-2.28
"01035",-2.335
"01051",-2.938
"01065",-2.566
"01109",-2.261
"01113",-2.074
"01117",-2.59
"02016",-3.146
"04015",1.546
"05011",-3.292
"05015",2.123
"05019",-3.531
"05025",-2.862
"05063",-2.391
"05067",-3.069
"05091",-2.035
"05139",-2.425
"06001",1.495
"06003",-0.649
"06023",0.032
"06033",0.989
"06037",0.623
"06057",-0.574
"06081",1.632
"06085",0.903
"06115",-0.221
"08013",-0.671
"08029",-0.783
"08059",-0.633
"08091",-1.189
"09009",1.002
"11001",0.485
"12009",0.456
"12039",-0.812
"12055",0.701
"12065",0.127
"12073",-0.402
"12107",0.322
"12117",0.681
"12123",-0.733
"12133",-0.536
"13009",2.122
"13013",0.4
"13027",-0.181
"13073",3.111
"13103",0.155
"13149",-0.591
"13179",1.502
"13189",2.818
"13205",-0.863
"13229",0.738
"13267",0.549
"13291",1.719
"13305",1.587
"13319",2.139
"15007",-0.458
"16015",0.836
"16025",0.942
"16033",2.478
"16039",0.857
"16041",2.514
"16043",1.944
"16061",1.367
"16085",1.143
"17003",-1.901
"17031",-0.122
"17043",-0.134
"17097",0.474
"17115",-0.789
"17161",-0.551
"17197",-0.568
"18027",2.491
"18061",0.933
"18123",2.351
"18147",2.846
"18157",-0.471
"19041",-0.24
"19045",-0.034
"19111",-0.332
"19135",0.665
"20025",-1.362
"20067",-1.324
"20095",0.566
"20199",-2.239
"21007",-1.859
"21017",-1.848
"21031",-0.55
"21065",-0.732
"21069",-2.203
"21099",-0.624
"21125",-0.269
"21127",-1.3
"21131",-0.363
"21151",-0.753
"21179",-0.308
"21189",-0.892
"21195",-0.669
"21217",-0.61
"21239",-0.453
"22011",-0.476
"22013",-0.735
"22021",-0.961
"22029",-0.98
"22033",-1.003
"22069",0.148
"22075",-0.345
"22077",-0.365
"22083",-2.027
"22087",-0.218
"22099",0.295
"23015",2.724
"24003",0.328
"24033",0.524
"24043",0.412
"25011",2.283
"25017",1.83
"26099",0.506
"26135",1.118
"26147",1.09
"26153",-0.157
"27053",1.15
"27077",0.584
"27089",-0.689
"27101",0.754
"27129",-0.092
"27139",1.059
"28007",-0.435
"28105",-0.923
"28143",-0.13
"28163",-1.414
"29023",5.589
"29029",2.009
"29031",-0.743
"29033",-0.258
"29157",-0.539
"29189",1.054
"29199",-0.261
"29207",-1.663
"30013",-0.255
"30015",-0.198
"30023",1.115
"30029",0.019
"30047",0.346
"30057",1.302
"30077",1.697
"30087",-0.726
"30105",-1.1
"31059",0.104
"31113",-1.814
"31171",-1.857
"34007",0.611
"34013",0.151
"34019",0.625
"34023",-0.124
"34041",0.707
"35021",-0.676
"35051",0.108
"36013",0.403
"36019",6.282
"36029",0.8
"36043",-0.096
"36053",0.236
"36065",0.023
"36077",0.249
"36081",0.382
"36115",1.634
"37027",0.526
"37055",-1.06
"37059",0.298
"37069",0.557
"37083",-0.136
"37087",1.741
"37093",0.155
"37111",0.649
"37121",1.081
"37127",0.742
"37155",0.011
"37175",1.565
"37199",0.771
"38037",-0.309
"38085",-0.542
"38099",-0.688
"38105",-0.927
"39035",-0.133
"39039",0.222
"39043",0.28
"39125",0.253
"40065",-1.453
"40079",-1.25
"40145",0.353
"41005",1.931
"41021",3.111
"41035",0.293
"41039",1.641
"41043",1.945
"41045",1.078
"41051",1.491
"41055",2.437
"42035",0.967
"42059",-1.105
"42063",-0.715
"42067",-0.021
"42091",0.653
"42111",-0.166
"45005",0.11
"45021",0.662
"45025",0.357
"45045",0.731
"45049",-0.106
"45053",0.181
"45063",0.574
"45091",0.688
"46093",-1.122
"46095",-2.929
"46103",-1.338
"47005",0.243
"47013",-0.583
"47019",1.058
"47029",0.412
"47033",-0.992
"47049",-0.338
"47081",0.592
"47097",-1.323
"47121",-0.151
"47149",0.591
"47159",-0.118
"48007",0.824
"48025",0.579
"48035",0.896
"48067",-0.061
"48083",-0.443
"48091",2.342
"48103",-1.102
"48139",1.662
"48151",-1.674
"48167",1.115
"48213",1.887
"48241",0.035
"48245",0.17
"48261",-0.454
"48333",0.469
"48347",0.345
"48361",-0.338
"48371",-1.487
"48403",0.073
"48427",-0.533
"48457",0.356
"48469",0.977
"48471",1.352
"48475",-1.155
"48477",1.429
"48479",-0.027
"48499",1.735
"49001",2.637
"49003",1.44
"49025",3.089
"49029",3.359
"49035",3.556
"49043",3.51
"51001",0.51
"51015",2.07
"51037",1.418
"51053",-0.63
"51069",0.43
"51109",1.179
"51125",2.486
"51145",1.119
"51161",0.558
"51185",0.497
"51790",2.119
"53005",3.395
"53007",3.16
"53009",1.143
"53015",1.208
"53037",2.616
"53043",3.259
"53065",3.215
"54005",-0.954
"54017",-1.538
"54039",-1.273
"54045",-0.347
"54047",-0.039
"54067",-1.857
"54081",-0.58
"54107",-1.283
"55113",0.475
"56029",2.657
"56039",3.11
"56045",1.209
"60010",-1.333
"60020",-1.333
