county_code,score
"01005",-0.716
"01023",-0.854
"01035",-0.41
"01051",-0.667
"01065",-0.75
"01109",-0.652
"01113",-0.761
"01117",-0.615
"02016",-0.717
"04015",0.08
"05011",-0.876
"05015",0.472
"05019",-0.876
"05025",-0.851
"05063",-0.765
"05067",-0.808
"05091",-0.824
"05139",-0.849
"06001",1.246
"06003",-0.206
"06023",1.449
"06033",1.436
"06037",0.451
"06057",-0.002
"06081",1.141
"06085",1.145
"06115",0.173
"08013",1.037
"08029",0.335
"08059",1.138
"08091",0.136
"09009",1.089
"11001",1.229
"12009",0.098
"12039",-0.707
"12055",0.117
"12065",-0.738
"12073",-0.738
"12107",-0.099
"12117",0.224
"12123",-0.738
"12133",-0.624
"13009",-0.771
"13013",0.172
"13027",-0.705
"13073",-0.653
"13103",-0.29
"13149",-0.444
"13179",-0.344
"13189",-0.653
"13205",-0.719
"13229",-0.829
"13267",-0.704
"13291",1.283
"13305",-0.698
"13319",-0.752
"15007",0.877
"16015",-0.63
"16025",-0.63
"16033",-0.007
"16039",-0.63
"16041",0.093
"16043",-0.007
"16061",0.264
"16085",-0.167
"17003",-0.67
"17031",0.305
"17043",0.314
"17097",0.509
"17115",-0.466
"17161",5.785
"17197",-0.142
"18027",-0.614
"18061",-0.491
"18123",-0.45
"18147",-0.522
"18157",-0.593
"19041",-0.876
"19045",0.536
"19111",4.686
"19135",-0.018
"20025",-0.876
"20067",-0.876
"20095",-0.849
"20199",-0.876
"21007",-0.567
"21017",-0.539
"21031",-0.751
"21065",-0.458
"21069",-0.67
"21099",-0.703
"21125",-0.526
"21127",-0.774
"21131",-0.676
"21151",-0.539
"21179",-0.491
"21189",-0.39
"21195",-0.876
"21217",-0.747
"21239",-0.611
"22011",-0.659
"22013",-0.837
"22021",-0.876
"22029",-0.876
"22033",-0.579
"22069",-0.677
"22075",-0.542
"22077",-0.616
"22083",-0.876
"22087",-0.542
"22099",-0.616
"23015",6.214
"24003",1.064
"24033",1.041
"24043",0.325
"25011",4.949
"25017",0.744
"26099",1.692
"26135",1.034
"26147",1.585
"26153",-0.656
"27053",-0.149
"27077",-0.688
"27089",-0.778
"27101",-0.838
"27129",-0.537
"27139",0.348
"28007",-0.599
"28105",-0.599
"28143",-0.605
"28163",-0.837
"29023",-0.751
"29029",-0.451
"29031",-0.696
"29033",-0.735
"29157",-0.666
"29189",-0.581
"29199",-0.656
"29207",-0.751
"30013",-0.49
"30015",-0.656
"30023",0.055
"30029",-0.394
"30047",-0.04
"30057",-0.127
"30077",0.098
"30087",-0.75
"30105",-0.876
"31059",-0.735
"31113",-0.809
"31171",-0.809
"34007",0.365
"34013",0.591
"34019",0.674
"34023",0.476
"34041",0.639
"35021",-0.725
"35051",-0.579
"36013",1.004
"36019",6.174
"36029",5.028
"36043",0.192
"36053",2.371
"36065",0.385
"36077",0.356
"36081",0.524
"36115",7.131
"37027",0.846
"37055",2.147
"37059",-0.253
"37069",0.164
"37083",0.397
"37087",1.041
"37093",-0.064
"37111",1.069
"37121",0.789
"37127",0.149
"37155",-0.199
"37175",1.151
"37199",0.976
"38037",-0.876
"38085",-0.876
"38099",-0.799
"38105",-0.823
"39035",0.348
"39039",3.387
"39043",3.141
"39125",3.218
"40065",-0.855
"40079",-0.646
"40145",-0.589
"41005",1.79
"41021",0.628
"41035",1.377
"41039",0.922
"41043",0.709
"41045",-0.487
"41051",1.584
"41055",0.673
"42035",0.645
"42059",0.11
"42063",0.112
"42067",0.975
"42091",0.496
"42111",0.23
"45005",-0.314
"45021",0.106
"45025",-0.608
"45045",0.569
"45049",-0.201
"45053",-0.152
"45063",-0.399
"45091",-0.069
"46093",-0.836
"46095",-0.876
"46103",-0.836
"47005",-0.598
"47013",-0.297
"47019",0.463
"47029",1.032
"47033",-0.673
"47049",-0.588
"47081",-0.722
"47097",-0.759
"47121",1.188
"47149",-0.47
"47159",-0.606
"48007",-0.815
"48025",-0.855
"48035",-0.586
"48067",-0.777
"48083",-0.775
"48091",-0.369
"48103",-0.815
"48139",-0.449
"48151",-0.817
"48167",-0.57
"48213",-0.657
"48241",-0.659
"48245",-0.625
"48261",-0.76
"48333",-0.699
"48347",-0.785
"48361",-0.608
"48371",-0.815
"48403",-0.716
"48427",-0.76
"48457",-0.819
"48469",-0.815
"48471",-0.636
"48475",-0.815
"48477",-0.439
"48479",-0.848
"48499",-0.688
"49001",-0.35
"49003",-0.294
"49025",-0.295
"49029",-0.214
"49035",-0.127
"49043",-0.107
"51001",1.351
"51015",0.102
"51037",6.309
"51053",-0.233
"51069",-0.184
"51109",0.518
"51125",6.717
"51145",0.258
"51161",6.32
"51185",-0.514
"51790",0.102
"53005",0.519
"53007",0.862
"53009",2.16
"53015",1.432
"53037",0.053
"53043",-0.015
"53065",-0.225
"54005",-0.657
"54017",-0.056
"54039",-0.657
"54045",-0.657
"54047",-0.503
"54067",-0.693
"54081",-0.693
"54107",-0.67
"55113",-0.691
"56029",-0.213
"56039",-0.007
"56045",-0.836
"60010",0.422
"60020",0.422
"69100",-0.419
"69110",-0.419
"69120",-0.419
"72023",-0.876
"72037",-0.876
"72039",-0.876
"72053",-0.876
"72113",-0.876
"72115",-0.876
"78010",-0.876
"78020",-0.876
"01049",-0.472
"01069",-0.861
"01087",-0.622
"01091",-0.854
"01095",-0.53
"01101",-0.667
"01115",-0.748
"01119",-0.799
"01121",-0.628
"01131",-0.844
"02105",-0.589
"02240",-0.589
"04005",-0.318
"04009",0.803
"04012",1.641
"04013",1.158
"04027",1.499
"05003",-0.876
"05007",0.388
"05061",-0.757
"05075",-0.808
"05093",-0.781
"05095",-0.851
"05103",-0.876
"05117",-0.808
"05131",-0.694
"05133",-0.757
"05147",-0.74
"06045",1.351
"06051",-0.266
"06065",0.721
"06069",0.71
"06079",0.876
"06083",0.858
"06101",0.342
"06107",0.363
"08019",1.368
"08023",-0.457
"08031",0.738
"08055",0.342
"19027",-0.858
"19075",-0.295
"19137",-0.714
"19157",0.21
"19163",5.814
"20017",-0.518
"20055",-0.876
"20143",-0.577
"21005",-0.55
"21011",-0.508
"21025",-0.585
"21029",-0.491
"21043",-0.774
"21049",-0.539
"21071",-0.809
"21085",-0.711
"21095",-0.657
"21105",-0.536
"21109",-0.534
"21119",-0.691
"21121",-0.488
"21135",-0.703
"21153",-0.809
"21159",-0.774
"21167",-0.611
"21177",-0.747
"21181",-0.618
"21193",-0.648
"21231",-0.648
"22035",-0.859
"22039",-0.541
"22053",-0.61
"22055",-0.616
"22067",-0.876
"22079",-0.716
"22103",-0.542
"22111",-0.876
"22127",-0.716
"23007",6.815
"23017",9.205
"23027",6.6
"23031",4.913
"24001",0.024
"24005",1.159
"24017",1.994
"24021",1.096
"24031",1.158
"24041",0.704
"24045",0.94
"25005",0.94
"25023",0.874
"25025",0.987
"26033",-0.728
"26063",1.498
"26083",-0.626
"26097",-0.728
"26115",3.662
"08093",1.182
"08105",0.299
"08113",0.136
"09001",0.954
"09007",1.133
"10005",-0.012
"12001",-0.293
"12017",-0.088
"12033",-0.357
"12041",-0.477
"12047",-0.755
"12071",0.085
"12086",0.096
"12093",0.158
"12097",0.126
"13021",-0.752
"13029",-0.344
"13039",-0.611
"13051",-0.29
"13077",-0.394
"13133",-0.059
"13137",1.403
"13143",-0.305
"13157",0.005
"13163",-0.748
"13171",-0.46
"13181",-0.653
"13185",-0.78
"13195",-0.004
"13221",-0.142
"13237",-0.051
"13245",-0.71
"13251",-0.254
"13269",-0.762
"13283",-0.804
"51007",0.188
"13303",-0.806
"13309",-0.846
"13313",-0.264
"13317",-0.045
"15001",1.292
"16005",-0.108
"16073",-0.507
"16077",-0.021
"16081",-0.007
"16083",-0.298
"17017",-0.48
"17027",-0.689
"17047",-0.733
"17109",4.899
"17129",-0.399
"17175",4.905
"17185",-0.733
"18009",-0.468
"18035",-0.518
"18067",-0.407
"18083",-0.632
"18159",-0.407
"18179",-0.486
"35055",-0.595
"36025",0.543
"36105",0.786
"36119",0.877
"36123",7.143
"37013",2.158
"37017",0.102
"37023",0.916
"37057",0.069
"37061",0.093
"37065",2.555
"37075",2.511
"37085",0.275
"37089",0.44
"37119",-0.253
"37129",-0.017
"37133",2.177
"37137",2.019
"37143",-0.035
"37149",0.545
"37153",0.063
"37161",1.205
"37167",-0.373
"38005",-0.799
"38033",-0.876
"38053",-0.823
"38059",-0.876
"38067",-0.799
"38071",-0.799
"38077",-0.854
"39061",0.4
"39095",3.335
"39137",3.934
"39175",3.926
"40013",-0.659
"40027",-0.643
"40057",-0.876
"40067",-0.808
"40075",-0.754
"40087",-0.643
"40095",-0.659
"40125",-0.643
"40135",-0.563
"27011",-0.876
"27027",-0.854
"27031",-0.529
"27061",-0.707
"27073",-0.876
"27075",-0.577
"27085",-0.155
"27097",-0.677
"27127",-0.722
"27171",-0.172
"28011",-0.876
"28029",-0.782
"28039",-0.556
"28055",-0.859
"28083",-0.876
"28087",-0.544
"28103",-0.522
"28121",-0.782
"28141",-0.776
"28149",-0.782
"28151",-0.876
"29041",-0.703
"29069",-0.808
"29099",-0.581
"29113",-0.611
"29159",-0.612
"29183",-0.581
"29195",-0.612
"29201",-0.726
"30011",-0.876
"30027",-0.707
"30031",-0.586
"30045",-0.364
"30049",-0.069
"30055",-0.876
"30059",-0.49
"30073",-0.423
"30085",-0.876
"30099",-0.423
"31069",-0.831
"31103",-0.876
"31151",-0.789
"32001",-0.122
"32015",-0.435
"32027",-0.197
"33007",7.047
"33015",4.181
"33017",4.859
"34001",0.365
"34015",0.268
"34021",0.525
"34029",0.232
"35031",-0.495
"35039",-0.495
"48425",-0.604
"48443",-0.773
"48449",-0.61
"48453",-0.338
"48459",-0.76
"48473",-0.518
"48491",-0.204
"49045",-0.127
"49047",0.208
"49051",0.065
"50017",9.319
"51003",0.286
"51009",6.232
"51017",5.946
"51023",6.133
"51033",1.088
"51047",-0.015
"51073",0.417
"51077",-0.157
"51095",0.341
"51097",1.322
"51107",1.061
"51111",-0.092
"51121",-0.084
"51127",0.417
"51139",0.055
"51163",5.909
"51175",0.155
"51179",1.698
"51191",0.263
"51195",-0.632
"53049",1.612
"53057",1.01
"53061",1.01
"53077",0.807
"54003",0.275
"54007",-0.685
"54019",-0.693
"54027",-0.172
"54037",0.309
"54041",-0.157
"54043",-0.713
"54057",-0.192
"54065",0.16
"54071",-0.501
"54075",-0.693
"54093",-0.263
"54099",-0.774
"55007",-0.659
"55023",0.961
"55051",-0.64
"55057",1.515
"55107",-0.62
"55121",0.182
"56003",-0.669
"56013",-0.633
"01041",-0.736
"01071",-0.366
"02100",-0.589
"04001",-0.255
"05001",-0.851
"05017",-0.876
"05029",-0.684
"05041",-0.876
"05145",-0.808
"06007",0.459
"06095",1.1
"08035",0.859
"08051",0.766
"12079",-0.738
"12125",-0.442
"13001",-0.791
"13049",-0.695
"13079",-0.752
"13107",-0.743
"41007",1.515
"41017",0.37
"41019",1.298
"42003",-0.11
"42033",-0.046
"42041",0.37
"42045",0.491
"42051",0.483
"42061",0.336
"42071",0.487
"42089",0.962
"42099",0.422
"42127",0.452
"42133",0.615
"44009",0.874
"45003",-0.565
"45007",-0.124
