county_code,score
"01005",-3.072
"01023",-3.359
"01035",-3.746
"01051",-3.315
"01065",-3.705
"01109",-3.423
"01113",-2.861
"01117",-3.527
"02016",-2.446
"04015",2.139
"05011",-4.028
"05015",-0.567
"05019",-3.96
"05025",-4.581
"05063",-3.647
"05067",-3.352
"05091",-2.349
"05139",-3.735
"06001",0.329
"06003",0.253
"06023",0.345
"06033",0.029
"06037",1.129
"06057",-0.066
"06081",0.477
"06085",0.258
"06115",-0.012
"08013",-2.79
"08029",-2.908
"08059",-3.862
"08091",-2.694
"09009",2.505
"11001",2.174
"12009",0.763
"12039",-1.75
"12055",0.737
"12065",-0.792
"12073",-1.074
"12107",0.835
"12117",0.73
"12123",-0.547
"12133",-2.538
"13009",-1.219
"13013",0.425
"13027",-1.089
"13073",-0.667
"13103",0.119
"13149",-0.575
"13179",0.274
"13189",-0.923
"13205",-2.137
"13229",-0.217
"13267",-0.414
"13291",1.398
"13305",-0.023
"13319",-1.349
"15007",-0.491
"16015",2.324
"16025",3.444
"16033",3.557
"16039",2.904
"16041",5.788
"16043",2.924
"16061",3.189
"16085",2.151
"17003",-1.711
"17031",1.643
"17043",1.8
"17097",2.245
"17115",0.178
"17161",1.387
"17197",1.661
"18027",0.879
"18061",0.621
"18123",-0.097
"18147",-0.231
"18157",2.08
"19041",0.771
"19045",1.529
"19111",1.511
"19135",3.303
"20025",-3.111
"20067",-3.701
"20095",-2.127
"20199",-4.064
"21007",-1.896
"21017",-0.207
"21031",-0.284
"21065",-0.937
"21069",-0.694
"21099",-0.379
"21125",-0.469
"21127",-1.289
"21131",-0.636
"21151",-0.655
"21179",0.483
"21189",-0.764
"21195",-0.999
"21217",-0.249
"21239",-0.042
"22011",-1.075
"22013",-1.863
"22021",-2.752
"22029",-1.639
"22033",-1.618
"22069",-1.41
"22075",-1.245
"22077",-1.429
"22083",-3.26
"22087",-1.157
"22099",-1.321
"23015",2.81
"24003",2.054
"24033",2.145
"24043",1.941
"25011",2.702
"25017",2.996
"26099",2.383
"26135",1.999
"26147",2.209
"26153",1.231
"27053",2.396
"27077",0.383
"27089",-0.574
"27101",0.675
"27129",0.628
"27139",2.396
"28007",-2.52
"28105",-2.373
"28143",-3.244
"28163",-2.564
"29023",-2.64
"29029",2.568
"29031",-1.672
"29033",1.627
"29157",-1.195
"29189",0.226
"29199",2.398
"29207",-2.431
"30013",-0.24
"30015",-0.404
"30023",0.587
"30029",1.047
"30047",1.17
"30057",1.371
"30077",-0.075
"30087",-1.952
"30105",-3.145
"31059",0.521
"31113",-2.256
"31171",-2.238
"34007",1.761
"34013",2.165
"34019",1.815
"34023",1.915
"34041",1.945
"35021",-2.163
"35051",0.398
"36013",0.974
"36019",2.029
"36029",1
"36043",1.921
"36053",1.136
"36065",1.632
"36077",1.294
"36081",2.353
"36115",2.674
"37027",1.005
"37055",1.546
"37059",1.301
"37069",2.138
"37083",2.02
"37087",1.46
"37093",0.978
"37111",1.09
"37121",1.121
"37127",1.923
"37155",0.978
"37175",0.954
"37199",1.174
"38037",-3.117
"38085",-3.246
"38099",-1.341
"38105",-2.874
"39035",0.908
"39039",2.093
"39043",1.383
"39125",1.826
"40065",-4.023
"40079",-2.378
"40145",0.004
"41005",2.113
"41021",2.251
"41035",0.5
"41039",0.93
"41043",1.241
"41045",1.085
"41051",2.3
"41055",2.276
"42035",1.068
"42059",-0.13
"42063",0.548
"42067",0.484
"42091",2.141
"42111",0.264
"45005",0.291
"45021",1.289
"45025",0.518
"45045",0.944
"45049",0.354
"45053",-0.127
"45063",0.082
"45091",1.042
"46093",-3.177
"46095",-3.782
"46103",-2.949
"47005",-0.61
"47013",-0.165
"47019",0.972
"47029",1.09
"47033",-1.684
"47049",-0.291
"47081",0.359
"47097",-2.302
"47121",1.036
"47149",0.677
"47159",0.201
"48007",1.302
"48025",0.956
"48035",1.066
"48067",-1.74
"48083",-1.753
"48091",1.028
"48103",-2.038
"48139",1.513
"48151",-3.119
"48167",0.622
"48213",1.614
"48241",-0.078
"48245",-0.107
"48261",0.798
"48333",0.099
"48347",0.55
"48361",-0.335
"48371",-1.972
"48403",-0.49
"48427",0.343
"48457",0.211
"48469",1.534
"48471",0.825
"48475",-1.441
"48477",1.367
"48479",0.519
"48499",0.527
"49001",3.068
"49003",5.264
"49025",2.868
"49029",5.386
"49035",6.046
"49043",5.802
"51001",7.538
"51015",1.718
"51037",0.762
"51053",7.384
"51069",1.925
"51109",7.486
"51125",2.694
"51145",7.802
"51161",2.034
"51185",0.155
"51790",1.671
"53005",2.657
"53007",2.983
"53009",2.703
"53015",2.34
"53037",2.625
"53043",2.918
"53065",3.125
"54005",-0.984
"54017",-0.753
"54039",-0.636
"54045",-0.874
"54047",0.022
"54067",-0.614
"54081",-0.769
"54107",-0.301
"55113",1.937
"56029",2.481
"56039",3.058
"56045",-1.93
"60010",-0.562
"60020",-0.541
"69100",-4.267
"69110",-4.267
"69120",-4.267
"72023",-6.887
"72037",-6.887
"72039",-6.887
"72053",-6.887
"72113",-6.887
"72115",-6.887
"78010",-6.887
"78020",-6.887
"01049",0.036
"01069",-2.491
"01087",-3.223
"01091",-3.561
"01095",-0.777
"01101",-4.022
"01115",-2.08
"01119",-3.095
"01121",-2.041
"01131",-3.928
"02105",-1.412
"02240",-1.717
"04005",1.55
"04009",1.082
"04012",2.221
"04013",1.726
"04027",1.75
"05003",-4.001
"05007",-0.237
"05061",-3.349
"05075",-3.338
"05093",-2.71
"05095",-3.828
"05103",-4.018
"05117",-4.46
"05131",-2.727
"05133",-2.621
"05147",-3.873
"06045",0.12
"06051",0.159
"06065",1.108
"06069",0.373
"06079",0.92
"06083",1.173
"06101",0.166
"06107",0.953
"08019",-3.352
"08023",-3.47
"08031",-3.438
"08055",-3.522
"19027",2.88
"19075",2.56
"19137",2.473
"19157",2.503
"19163",1.757
"20017",0.83
"20055",-3.507
"20143",-0.917
"21005",0.53
"21011",-0.664
"21025",-1.071
"21029",0.665
"21043",-1.292
"21049",-0.721
"21071",-1.275
"21085",-0.469
"21095",-0.305
"21105",-1.495
"21109",-0.758
"21119",-0.899
"21121",-0.525
"21135",-0.817
"21153",-1.047
"21159",-1.074
"21167",-0.249
"21177",-0.852
"21181",-0.104
"21193",-0.836
"21231",-0.639
"22035",-3.041
"22039",-1.982
"22053",-1.527
"22055",-1.572
"22067",-3.548
"22079",-1.852
"22103",-1.431
"22111",-4.187
"22127",-2.212
"23007",2.908
"23017",2.853
"23027",2.765
"23031",3.038
"24001",1.097
"24005",2.007
"24017",8.047
"24021",2.127
"24031",2.052
"24041",8.103
"24045",8.338
"25005",2.984
