county_code,score
"01005",-3.37
"01023",-4.521
"01035",-5.342
"01051",-5.634
"01065",-5.311
"01109",-4.881
"01113",-3.11
"01117",-5.059
"02016",-3.249
"04015",2.775
"05011",-5.505
"05015",1.089
"05019",-5.242
"05025",-5.839
"05063",-4.23
"05067",-3.893
"05091",-1.36
"05139",-4.736
"06001",1.274
"06003",1.006
"06023",1.111
"06033",0.833
"06037",2.447
"06057",0.456
"06081",1.553
"06085",1.357
"06115",0.727
"08013",-4.203
"08029",-4.046
"08059",-5.809
"08091",-3.866
"09009",2.467
"11001",1.589
"12009",2.404
"12039",-1.204
"12055",2.459
"12065",0.486
"12073",-0.718
"12107",1.199
"12117",1.717
"12123",0.056
"12133",-2.828
"13009",0.988
"13013",1.711
"13027",-0.428
"13073",0.553
"13103",0.531
"13149",-1.452
"13179",0.261
"13189",0.602
"13205",-1.419
"13229",0.041
"13267",-0.116
"13291",2.302
"13305",0.333
"13319",0.855
"15007",0.276
"16015",3.209
"16025",3.679
"16033",4.115
"16039",3.246
"16041",6.183
"16043",3.447
"16061",2.669
"16085",2.458
"17003",-1.841
"17031",0.978
"17043",1.32
"17097",2.06
"17115",-0.057
"17161",1.121
"17197",0.788
"18027",-0.566
"18061",0.123
"18123",-0.467
"18147",-1.458
"18157",0.579
"19041",3.055
"19045",1.177
"19111",0.979
"19135",1.227
"20025",-3.306
"20067",-4.46
"20095",0.377
"20199",-4.964
"21007",-1.748
"21017",-0.915
"21031",0.04
"21065",-0.138
"21069",-0.183
"21099",1.291
"21125",0.877
"21127",-0.173
"21131",0.499
"21151",0.87
"21179",1.143
"21189",0.504
"21195",-0.001
"21217",1.425
"21239",0.016
"22011",0.346
"22013",-1.434
"22021",-2.872
"22029",-1.769
"22033",-1.355
"22069",-0.283
"22075",-1.244
"22077",-1.316
"22083",-3.64
"22087",-1.283
"22099",-0.678
"23015",3.387
"24003",1.38
"24033",1.673
"24043",1.386
"25011",2.846
"25017",3.638
"26099",3.059
"26135",2.543
"26147",2.665
"26153",1.043
"27053",4.748
"27077",0.539
"27089",-1.092
"27101",1.422
"27129",2.845
"27139",5.825
"28007",-3.538
"28105",-3.776
"28143",-4.649
"28163",-3.851
"29023",-2.36
"29029",4.407
"29031",-0.789
"29033",0.103
"29157",-0.06
"29189",0.651
"29199",1.829
"29207",-1.932
"30013",-0.387
"30015",-0.639
"30023",0.967
"30029",-0.319
"30047",0.29
"30057",1.978
"30077",0.451
"30087",-3.999
"30105",-4.65
"31059",0.312
"31113",-4.572
"31171",-4.939
"34007",1.468
"34013",2.202
"34019",1.792
"34023",2.003
"34041",1.85
"35021",-2.044
"35051",-0.589
"36013",1.431
"36019",1.898
"36029",1.37
"36043",1.707
"36053",1.176
"36065",1.493
"36077",1.248
"36081",2.426
"36115",2.047
"37027",3.281
"37055",3.707
"37059",2.927
"37069",2.797
"37083",2.495
"37087",2.952
"37093",1.784
"37111",3.405
"37121",2.928
"37127",2.907
"37155",1.63
"37175",2.567
"37199",3.124
"38037",-4.961
"38085",-4.191
"38099",-2.245
"38105",-5.279
"39035",1.12
"39039",2.153
"39043",1.156
"39125",1.933
"40065",-4.668
"40079",-2.561
"40145",1.6
"41005",4.15
"41021",4.207
"41035",1.542
"41039",2.688
"41043",2.956
"41045",1.455
"41051",4.543
"41055",4.7
"42035",0.964
"42059",-0.155
"42063",0.394
"42067",0.741
"42091",1.989
"42111",0.321
"45005",-0.038
"45021",2.412
"45025",0.917
"45045",1.833
"45049",0.358
"45053",0.607
"45063",-0.302
"45091",2.355
"46093",-4.465
"46095",-5.118
"46103",-3.736
"47005",-0.36
"47013",1.76
"47019",2.578
"47029",2.188
"47033",-1.617
"47049",1.748
"47081",0.949
"47097",-2.381
"47121",2.02
"47149",1.044
"47159",1.404
"48007",2.185
"48025",1.973
"48035",2.802
"48067",-0.084
"48083",-1.628
"48091",1.67
"48103",-2.433
"48139",2.847
"48151",-2.035
"48167",2.343
"48213",3.481
"48241",2.106
"48245",2.072
"48261",2.389
"48333",0.706
"48347",3.18
"48361",1.883
"48371",-2.684
"48403",1.856
"48427",1.663
"48457",2.226
"48469",2.055
"48471",3.031
"48475",-1.382
"48477",2.418
"48479",1.407
"48499",2.429
"49001",4.788
"49003",5.962
"49025",3.415
"49029",5.584
"49035",6.223
"49043",5.757
"51001",0.278
"51015",2.418
"51037",3.115
"51053",1.735
"51069",1.361
"51109",1.434
"51125",1.856
"51145",1.633
"51161",1.44
"51185",1.571
"51790",2.401
"53005",3.636
"53007",3.374
"53009",3.866
"53015",4.698
"53037",3.44
"53043",2.835
"53065",2.672
"54005",-0.594
"54017",-0.509
"54039",-0.743
"54045",-0.123
"54047",1.156
"54067",-1.219
"54081",-0.355
"54107",-1.302
"55113",2.567
"56029",1.989
"56039",3.755
"56045",-2.707
"60010",0.325
"60020",0.652
"69100",-5.657
"69110",-5.657
"69120",-5.657
"72023",-9.477
"72037",-9.477
"72039",-9.477
"72053",-9.477
"72113",-9.477
"72115",-9.477
"78010",-9.477
"78020",-9.477
"01049",0.09
"01069",-2.888
"01087",-5.4
"01091",-5.11
"01095",-0.703
"01101",-6.025
"01115",-2.475
"01119",-4.913
"01121",-2.753
"01131",-5.668
"02105",-2.727
"02240",-3.205
"04005",1.781
"04009",0.351
"04012",2.854
"04013",1.299
"04027",2.151
"05003",-5.79
"05007",0.732
"05061",-2.705
"05075",-3.568
"05093",-2.03
"05095",-5.921
"05103",-5.305
"05117",-6.383
"05131",-3.206
"05133",-2.244
"05147",-5.547
"06045",0.936
"06051",0.959
"06065",1.316
"06069",1.547
"06079",2.206
"06083",2.616
"06101",0.761
"06107",2.261
"08019",-5.155
"08023",-4.988
"08031",-5.287
"08055",-4.872
"19027",2.655
"19075",4.353
"19137",1.447
"19157",2.64
"19163",1.303
"20017",2.064
"20055",-4.702
"20143",-0.053
"21005",0.748
"21011",0.306
"21025",-0.204
"21029",0.758
"21043",-0.357
"21049",-0.006
"21071",-0.449
"21085",0.214
"21095",1.152
"21105",-1.792
"21109",0.596
