county_code,score
"01005",-3.022
"01023",-4.027
"01035",-5.159
"01051",-4.766
"01065",-5.018
"01109",-4.313
"01113",-3.357
"01117",-5.587
"02016",-2.15
"04015",0.048
"05011",-6.257
"05015",-1.635
"05019",-5.718
"05025",-6.591
"05063",-3.513
"05067",-3.877
"05091",-2.871
"05139",-6.288
"06001",-0.987
"06003",-1.09
"06023",0.198
"06033",-0.752
"06037",-0.667
"06057",-1.328
"06081",-0.673
"06085",-1.416
"06115",-1.328
"08013",-3.486
"08029",-3.94
"08059",-4.468
"08091",-3.492
"09009",-0.593
"11001",1.048
"12009",-1.294
"12039",-2.488
"12055",-1.371
"12065",-1.864
"12073",-2.142
"12107",-1.16
"12117",-1.433
"12123",-1.825
"12133",-3.696
"13009",-3.13
"13013",0.082
"13027",-2.133
"13073",-2.63
"13103",-2.349
"13149",-2.263
"13179",-2.45
"13189",-2.678
"13205",-2.992
"13229",-2.39
"13267",-2.642
"13291",4.173
"13305",-2.309
"13319",-3.351
"15007",-1.313
"16015",3.077
"16025",2.111
"16033",1.763
"16039",2.571
"16041",3.323
"16043",2.603
"16061",4.465
"16085",2.857
"17003",-1.663
"17031",0.551
"17043",0.871
"17097",1.387
"17115",1.408
"17161",1.712
"17197",0.129
"18027",1.311
"18061",2.163
"18123",-0.135
"18147",-0.386
"18157",0.432
"19041",3.15
"19045",2.516
"19111",3.57
"19135",2.425
"20025",-1.063
"20067",-1.4
"20095",-0.695
"20199",-3.471
"21007",-1.995
"21017",0.488
"21031",0.605
"21065",-0.476
"21069",-1.143
"21099",2.36
"21125",1.24
"21127",-0.934
"21131",-0.196
"21151",0.705
"21179",3.172
"21189",0.197
"21195",1.123
"21217",2.531
"21239",1.262
"22011",-2.693
"22013",-4.086
"22021",-5.036
"22029",-3.612
"22033",-3.746
"22069",-3.038
"22075",-3.1
"22077",-3.32
"22083",-5.411
"22087",-3.172
"22099",-3.292
"23015",3.745
"24003",0.586
"24033",1.037
"24043",1.976
"25011",1.318
"25017",1.921
"26099",3.896
"26135",4.302
"26147",3.7
"26153",1.82
"27053",4.61
"27077",3.337
"27089",4.795
"27101",2.144
"27129",1.679
"27139",4.037
"28007",-3.587
"28105",-3.218
"28143",-4.541
"28163",-4.313
"29023",-2.012
"29029",2.504
"29031",-2.142
"29033",1.882
"29157",-1.439
"29189",1.825
"29199",4.591
"29207",-1.495
"30013",-0.087
"30015",-0.529
"30023",0.256
"30029",1.734
"30047",2.356
"30057",1.98
"30077",0.834
"30087",-1.109
"30105",-4.291
"31059",1.877
"31113",-3.906
"31171",-3.894
"34007",-1.606
"34013",-1.57
"34019",-1.457
"34023",-1.658
"34041",-1.182
"35021",-1.278
"35051",0.109
"36013",1.181
"36019",3.235
"36029",1.511
"36043",2.451
"36053",1.426
"36065",1.949
"36077",1.191
"36081",-1.513
"36115",2.375
"37027",2.399
"37055",1.467
"37059",1.269
"37069",0.564
"37083",1.862
"37087",3.469
"37093",-1.225
"37111",2.062
"37121",2.302
"37127",0.123
"37155",-1.345
"37175",3.184
"37199",2.209
"38037",-0.554
"38085",-0.581
"38099",2.052
"38105",-2.796
"39035",0.968
"39039",2.883
"39043",1.157
"39125",2.268
"40065",-2.984
"40079",-1.802
"40145",0.598
"41005",4.349
"41021",5.178
"41035",2.47
"41039",3.487
"41043",3.597
"41045",2.275
"41051",4.534
"41055",4.744
"42035",1.649
"42059",1.794
"42063",1.483
"42067",1.042
"42091",-1.127
"42111",2.423
"45005",-2.912
"45021",0.529
"45025",-1.695
"45045",1.66
"45049",-2.931
"45053",-2.116
"45063",-2.841
"45091",-0.31
"46093",-3.082
"46095",-5.262
"46103",-2.651
"47005",-1.234
"47013",1.156
"47019",2.346
"47029",2.959
"47033",-1.789
"47049",2.04
"47081",-1.213
"47097",-3.111
"47121",3.402
"47149",-0.101
"47159",0.497
"48007",0.349
"48025",0.733
"48035",2.172
"48067",-1.923
"48083",1.239
"48091",2.009
"48103",-1.976
"48139",2.667
"48151",-2.301
"48167",-0.289
"48213",1.358
"48241",-1.443
"48245",-0.691
"48261",0.358
"48333",2.423
"48347",-0.068
"48361",-1.607
"48371",-2.402
"48403",-1.723
"48427",-0.073
"48457",-0.653
"48469",1.031
"48471",0.295
"48475",-1.345
"48477",1.054
"48479",0.616
"48499",-0.016
"49001",1.826
"49003",1.656
"49025",0.875
"49029",2.594
"49035",2.292
"49043",2.213
"51001",2.14
"51015",4.782
"51037",3.729
"51053",3.148
"51069",2.206
"51109",2.189
"51125",5.472
"51145",4.07
"51161",4.571
"51185",2.602
"51790",4.782
"53005",5.217
"53007",4.501
"53009",4.193
"53015",4.152
"53037",4.471
"53043",4.563
"53065",5.142
"54005",0.395
"54017",1.441
"54039",-0.312
"54045",0.989
"54047",2.184
"54067",1.263
"54081",1.162
"54107",0.316
"55113",4.451
"56029",3.9
"56039",3.316
"56045",-0.502
"60010",-2.303
"60020",-2.424
"69100",-4.37
"69110",-4.37
"69120",-4.37
"72023",-8.311
"72037",-8.311
"72039",-8.311
"72053",-8.311
"72113",-8.311
"72115",-8.311
"78010",-8.311
"78020",-8.311
"01049",-0.86
"01069",-2.813
"01087",-4.222
"01091",-4.731
"01095",-2.311
"01101",-5.455
"01115",-4.021
"01119",-4.735
"01121",-4.051
"01131",-4.723
"02105",-1.513
"02240",-1.974
"04005",-0.096
"04009",0.206
"04012",0.565
"04013",0.507
"04027",0.645
"05003",-6.271
"05007",-0.162
"05061",-4.09
"05075",-3.459
"05093",-3.801
"05095",-5.882
"05103",-6.167
"05117",-5.889
"05131",-2.597
"05133",-2.966
"05147",-5.339
"06045",-0.544
"06051",-1.336
"06065",-0.603
"06069",-1.467
"06079",-0.79
"06083",-0.641
"06101",-1.147
"06107",-1.138
"08019",-4.043
"08023",-4.129
"08031",-4.151
"08055",-4.239
"19027",2.834
"19075",3.715
"19137",-0.378
"19157",2.692
"19163",2.431
"20017",2.081
"20055",-2.846
"20143",1.712
"21005",2.792
"21011",-1.11
"21025",-0.54
"21029",2.902
"21043",-1.293
"21049",0.369
"21071",-0.574
"21085",0.885
"21095",-0.139
"21105",-1.809
"21109",0.529
"21119",0.039
"21121",-0.591
"21135",-1.166
"21153",-0.423
"21159",-0.591
"21167",2.151
"21177",-0.883
"21181",-0.179
"21193",-0.139
"21231",2.8
"22035",-5.465
"22039",-3.041
"22053",-2.333
"22055",-2.821
"22067",-5.709
"22079",-3.496
"22103",-3.37
"22111",-6.115
"22127",-4.134
"23007",4.164
"23017",4.138
"23027",3.745
"23031",3.351
"24001",2.934
"24005",0.198
"24017",0.594
"24021",1.114
"24031",0.931
"24041",-0.129
"24045",0.695
"25005",1.219
"25023",1.875
"25025",1.886
"26033",1.989
"26063",4.209
"26083",1.559
"26097",2.506
"26115",2.69
"08093",-4.336
"08105",-3.548
"08113",-3.317
"09001",-0.815
"09007",-0.256
"10005",-0.363
"12001",-1.273
"12017",-1.464
"12033",-3.496
"12041",-1.354
"12047",-1.785
"12071",-1.072
"12086",-1.371
"12093",-1.371
"12097",-1.294
"13021",-2.35
"13029",-2.117
"13039",-1.641
"13051",-2.189
"13077",-1.875
"13133",-2.003
"13137",2.997
"13143",-1.676
"13157",0.621
"13163",-3.265
"13171",-1.71
"13181",-2.067
"13185",-2.386
"13195",0.214
"13221",-1.057
"13237",-2.434
"13245",-2.933
"13251",-3.164
"13269",-2.57
"13283",-3.542
"51007",4.063
"13303",-3.245
"13309",-2.992
"13313",3.406
"13317",-1.842
"15001",-1.015
"16005",3.57
"16073",1.688
"16077",3.146
"16081",3.187
"16083",1.052
"17017",2.205
"17027",2.103
"17047",1.492
"17109",2.319
"17129",2.56
"17175",1.813
"17185",0.739
"18009",1.752
"18035",1.673
"18067",1.202
"18083",1.292
"18159",1.238
"18179",1.919
"35055",-3.457
"36025",0.791
"36105",-0.662
"36119",-1.035
"36123",1.775
"37013",0.075
"37017",-0.972
"37023",1.971
"37057",0.75
"37061",-1.253
"37065",-0.846
"37075",4.52
"37085",-0.951
