county_code,score
"01005",-2.807
"01023",-0.387
"01035",-3.513
"01051",-3.908
"01065",-3.791
"01109",-3.369
"01113",-2.848
"01117",-3.901
"02016",-2.157
"04015",1.855
"05011",-3.976
"05015",1.171
"05019",-3.674
"05025",-4.236
"05063",2.345
"05067",2.58
"05091",-1.074
"05139",-3.352
"06001",0.286
"06003",0.536
"06023",0.616
"06033",0.277
"06037",0.984
"06057",-0.117
"06081",0.535
"06085",0.29
"06115",-0.063
"08013",-1.849
"08029",-1.298
"08059",-2.719
"08091",-1.099
"09009",1.836
"11001",0.463
"12009",0.499
"12039",-1.101
"12055",0.597
"12065",-0.867
"12073",-1.048
"12107",0.72
"12117",0.129
"12123",-0.791
"12133",-2.074
"13009",0.881
"13013",2.937
"13027",-0.859
"13073",1.64
"13103",0.926
"13149",-1.272
"13179",0.605
"13189",1.207
"13205",-1.787
"13229",0.279
"13267",0.081
"13291",2.048
"13305",0.853
"13319",1.339
"15007",0.009
"16015",2.5
"16025",2.588
"16033",2.496
"16039",2.432
"16041",4.487
"16043",2.262
"16061",3.614
"16085",2.138
"17003",-1.997
"17031",-0.422
"17043",-0.238
"17097",0.269
"17115",-0.842
"17161",-0.376
"17197",-0.625
"18027",1.021
"18061",0.708
"18123",0.842
"18147",1.035
"18157",-0.583
"19041",-0.141
"19045",-0.005
"19111",-0.58
"19135",0.084
"20025",-1.297
"20067",-3.559
"20095",-0.224
"20199",-3.467
"21007",-1.446
"21017",-1.458
"21031",0.321
"21065",-1.643
"21069",-1.722
"21099",0.357
"21125",-0.841
"21127",-1.763
"21131",-0.844
"21151",-1.197
"21179",-0.064
"21189",-1.464
"21195",-0.597
"21217",-0.881
"21239",-1.647
"22011",-0.079
"22013",-1.707
"22021",-2.029
"22029",-0.12
"22033",1.379
"22069",-0.865
"22075",2.501
"22077",0.017
"22083",-2.471
"22087",2.495
"22099",0.194
"23015",7.159
"24003",0.375
"24033",0.3
"24043",0.481
"25011",2.67
"25017",3.407
"26099",1.275
"26135",1.109
"26147",0.998
"26153",-0.122
"27053",1.389
"27077",0.598
"27089",-0.521
"27101",-0.128
"27129",0.958
"27139",1.209
"28007",-0.961
"28105",-1.123
"28143",-1.578
"28163",0.295
"29023",1.941
"29029",4.287
"29031",2.459
"29033",0.115
"29157",3.016
"29189",0.277
"29199",0.388
"29207",2.288
"30013",1.143
"30015",1.053
"30023",1.187
"30029",2.674
"30047",2.263
"30057",1.399
"30077",0.806
"30087",0.422
"30105",-1.812
"31059",0.304
"31113",-2.917
"31171",-2.909
"34007",-0.072
"34013",0.521
"34019",0.278
"34023",0.15
"34041",0.495
"35021",-1.439
"35051",-0.011
"36013",0.344
"36019",5.546
"36029",0.655
"36043",1.782
"36053",0.448
"36065",1.025
"36077",0.637
"36081",0.799
"36115",3.004
"37027",1.192
"37055",-0.569
"37059",0.925
"37069",0.274
"37083",-0.266
"37087",1.426
"37093",0.156
"37111",1.066
"37121",0.981
"37127",-0.096
"37155",0.144
"37175",1.129
"37199",1.024
"38037",-2.119
"38085",-2.316
"38099",-1.519
"38105",-1.961
"39035",-0.269
"39039",0.49
"39043",0.09
"39125",0.317
"40065",-1.634
"40079",-1.704
"40145",0.584
"41005",2.574
"41021",3.826
"41035",1.261
"41039",1.612
"41043",1.966
"41045",2.219
"41051",2.88
"41055",3.36
"42035",0.568
"42059",-1.765
"42063",-0.259
"42067",-0.032
"42091",0.289
"42111",-0.477
"45005",2.143
"45021",1.116
"45025",0.255
"45045",1.334
"45049",0.034
"45053",1.117
"45063",0.043
"45091",0.519
"46093",-1.662
"46095",-4.013
"46103",-2.007
"47005",-0.643
"47013",0.452
"47019",0.71
"47029",1.042
"47033",-1.301
"47049",0.139
"47081",0.228
"47097",-2.123
"47121",0.398
"47149",-0.124
"47159",-0.321
"48007",1.3
"48025",0.839
"48035",1.981
"48067",-0.022
"48083",-0.802
"48091",1.453
"48103",-2.413
"48139",2.454
"48151",-2.439
"48167",1.008
"48213",2.656
"48241",1.292
"48245",0.878
"48261",0.903
"48333",0.712
"48347",1.559
"48361",0.986
"48371",-2.317
"48403",0.968
"48427",0.518
"48457",1.559
"48469",1.862
"48471",1.526
"48475",-1.989
"48477",1.982
"48479",0.69
"48499",1.702
"49001",3.722
"49003",3.64
"49025",3.183
"49029",4.054
"49035",4.205
"49043",3.99
"51001",-0.128
"51015",1.768
"51037",1.594
"51053",-0.251
"51069",0.902
"51109",1.17
"51125",1.511
"51145",0.989
"51161",0.538
"51185",0.217
"51790",1.799
"53005",4.015
"53007",4.057
"53009",3.683
"53015",2.905
"53037",3.901
"53043",3.381
"53065",4.362
"54005",-1.601
"54017",-1.815
"54039",-1.356
"54045",-1.193
"54047",-0.064
"54067",-1.595
"54081",-0.641
"54107",-1.923
"55113",0.934
"56029",2.504
"56039",3.212
"56045",-0.021
"60010",0.04
"60020",0.199
"69100",-3.723
"69110",-3.723
"69120",-3.723
"72023",-6.371
"72037",-6.371
"72039",-6.371
"72053",-6.371
"72113",-6.371
"72115",-6.371
"78010",-6.371
"78020",-6.371
"01049",-0.968
"01069",-1.931
"01087",-3.123
"01091",-2.78
"01095",-1.914
"01101",-3.96
"01115",-2.546
"01119",-2.674
"01121",-2.763
"01131",-3.438
"02105",-1.17
"02240",-1.508
"04005",2.076
"04009",1.188
"04012",1.716
"04013",1.371
"04027",1.293
"05003",-3.486
"05007",1.653
"05061",-2.38
"05075",3.162
"05093",1.962
"05095",-2.396
"05103",-3.574
"05117",-3.337
"05131",-1.92
"05133",-1.924
"05147",-3.463
"06045",0.387
"06051",0.403
"06065",0.794
"06069",0.415
"06079",0.739
"06083",0.889
"06101",0.138
"06107",0.621
"08019",-2.159
"08023",-2.617
"08031",-2.409
"08055",-2.478
"19027",0.004
"19075",1.475
"19137",-0.169
"19157",1.087
"19163",-0.224
"20017",1.304
"20055",-3.087
"20143",0.018
"21005",-1.66
"21011",-1.675
"21025",-1.355
"21029",-0.101
"21043",-1.927
"21049",-1.641
"21071",-1.188
"21085",0.832
"21095",-0.177
"21105",-1.77
"21109",-1.109
"21119",-0.668
"21121",-0.812
"21135",-1.63
"21153",-1.474
"21159",-1.406
"21167",-1.421
"21177",-0.471
"21181",-1.526
"21193",-0.879
"21231",-0.664
"22035",-2.242
"22039",-0.906
"22053",-0.172
"22055",-0.758
"22067",-3.072
"22079",-0.548
"22103",2.342
"22111",-3.584
"22127",-1.782
"23007",6.927
"23017",7.025
"23027",6.992
"23031",6.982
"24001",0.183
"24005",0.312
"24017",0.6
"24021",0.589
"24031",0.535
"24041",0.29
"24045",0.616
"25005",3.279
"25023",3.551
"25025",3.416
"26033",0.274
"26063",1.39
"26083",0.225
"26097",0.397
"26115",0.621
"08093",-2.399
"08105",-1.499
"08113",-0.612
"09001",1.239
"09007",2.377
"10005",0.675
"12001",0.605
"12017",-0.162
"12033",-2.391
"12041",0.484
"12047",0.2
"12071",0.64
"12086",0.512
"12093",0.571
"12097",0.527
"13021",0.546
"13029",0.64
"13039",0.468
"13051",0.773
"13077",-0.602
"13133",1.535
"13137",1.595
"13143",-0.952
"13157",2.855
"13163",1.931
"13171",1.058
"13181",1.686
"13185",-0.359
"13195",2.711
"13221",2.557
"13237",1.326
"13245",1.85
"13251",1.936
"13269",-1.37
"13283",1.073
"51007",1.087
"13303",1.47
"13309",-0.238
"13313",1.379
"13317",1.7
"15001",0.679
"16005",4.052
"16073",2.035
"16077",4.111
"16081",3.533
"16083",2.896
"17017",-0.483
"17027",-1.183
"17047",0.5
"17109",-1.377
"17129",-0.815
"17175",-0.541
"17185",0.823
"18009",-0.091
"18035",-0.193
"18067",-0.186
"18083",0.964
"18159",-0.287
"18179",-0.308
"35055",-2.992
"36025",0.985
"36105",0.538
"36119",0.979
"36123",1.024
"37013",-0.784
"37017",0.144
"37023",1.105
"37057",0.782
"37061",0.361
"37065",-0.296
"37075",1.905
"37085",0.284
"37089",1.396
"37119",0.705
"37129",-0.416
"37133",0.012
"37137",-0.666
"37143",-0.283
"37149",1.353
"37153",0.488
"37161",1.31
"37167",0.41
"38005",-1.551
"38033",-1.011
"38053",-1.941
"38059",-2.394
"38067",-1.003
"38071",-1.279
"38077",-0.786
"39061",-1.098
"39095",0.419
"39137",0.198
"39175",0.108
"40013",1.133
"40027",0.498
"40057",-2.007
"40067",0.204
"40075",-0.664
"40087",0.176
"40095",0.796
"40125",0.569
"40135",-1.315
"27011",-0.467
"27027",-0.196
"27031",0.864
"27061",1.524
"27073",-0.49
"27075",1.317
"27085",1.074
"27097",0.657
"27127",0.45
"27171",1.12
"28011",-2.782
"28029",1.147
"28039",1.344
"28055",-2.322
"28083",-1.556
"28087",-1.725
"28103",-1.705
"28121",1.21
"28141",-0.635
"28149",0.331
"28151",-2.808
"29041",0.647
"29069",1.97
"29099",5.154
"29113",1.046
"29159",2.526
"29183",0.667
"29195",1.781
"29201",2.242
"30011",0.006
"30027",0.152
"30031",2.021
"30045",1.183
"30049",0.748
"30055",-1.663
"30059",1.512
"30073",0.914
"30085",-1.501
"30099",1.166
"31069",-3.006
"31103",-3.152
"31151",0.809
"32001",-0.65
"32015",0.354
"32027",-0.694
"33007",6.794
"33015",4.137
"33017",6.999
"34001",0.014
"34015",0.055
"34021",0.198
"34029",0.311
"35031",-0.496
"35039",-1.857
"48425",1.312
"48443",-1.623
"48449",0.428
"48453",1.701
"48459",1.219
"48473",1.751
"48491",2.16
"49045",4.359
"49047",1.767
"49051",3.529
"50017",6.451
"51003",1.889
"51009",1.63
"51017",1.074
"51023",1.077
"51033",0.598
"51047",2.279
"51073",-0.757
"51077",0.987
"51095",-0.697
"51097",-0.157
"51107",0.672
"51111",0.544
"51121",0.6
"51127",-0.165
"51139",1.633
"51163",1.586
"51175",-0.086
"51179",0.844
"51191",0.366
"51195",0.282
"53049",2.592
"53057",4.219
"53061",4.447
"53077",3.766
"54003",0.929
"54007",-2.102
"54019",-1.36
"54027",0.049
"54037",0.986
"54041",-2.017
"54043",-1.556
"54057",0.111
"54065",0.872
"54071",1.574
"54075",-0.263
"54093",-0.498
"54099",-1.705
"55007",0.929
"55023",1.405
"55051",0.492
"55057",1.157
"55107",1.151
"55121",2.071
"56003",2.778
"56013",3.453
"01041",-3.492
"01071",0.47
"02100",-0.998
"04001",0.31
"05001",-3.037
"05017",-2.905
"05029",-2.99
"05041",-3.013
"05145",-2.821
"06007",-0.061
"06095",0.529
"08035",-3.013
"08051",-1.408
"12079",-0.103
"12125",0.627
"13001",0.193
"13049",0.486
"13079",0.727
"13107",1.203
"41007",2.456
"41017",2.235
