county_code,score
"01005",-0.773
"01023",-0.993
"01035",-0.724
"01051",-0.776
"01065",-1.021
"01109",-0.626
"01113",-0.871
"01117",-0.756
"02016",0.297
"04015",5.839
"05011",-1.102
"05015",-0.542
"05019",-0.912
"05025",-0.999
"05063",-0.861
"05067",-0.909
"05091",-1.021
"05139",-1.129
"06001",0.805
"06003",0.664
"06023",0.877
"06033",0.781
"06037",0.857
"06057",0.574
"06081",0.828
"06085",0.814
"06115",0.574
"08013",0.395
"08029",6.135
"08059",0.435
"08091",6.036
"09009",2.26
"11001",4.577
"12009",0.067
"12039",-0.564
"12055",0.067
"12065",-0.615
"12073",-0.493
"12107",-0.239
"12117",-0.08
"12123",-0.523
"12133",-0.591
"13009",-0.889
"13013",-0.177
"13027",-0.775
"13073",-0.9
"13103",-0.701
"13149",-0.493
"13179",-0.744
"13189",-0.924
"13205",-0.784
"13229",-0.882
"13267",-0.755
"13291",-0.014
"13305",-0.728
"13319",-0.989
"15007",0.782
"16015",-0.362
"16025",-0.319
"16033",0.302
"16039",-0.509
"16041",-0.54
"16043",0.313
"16061",-0.59
"16085",0.374
"17003",-1.037
"17031",0.182
"17043",0.134
"17097",0.405
"17115",-0.31
"17161",-0.514
"17197",-0.071
"18027",-0.365
"18061",-0.356
"18123",-0.387
"18147",-0.647
"18157",-0.372
"19041",-1.07
"19045",-0.366
"19111",-0.629
"19135",-0.8
"20025",-1.118
"20067",-1.119
"20095",-0.903
"20199",-1.104
"21007",-1.058
"21017",-0.911
"21031",-0.782
"21065",-0.982
"21069",-0.863
"21099",-0.811
"21125",-1.034
"21127",-0.925
"21131",-0.915
"21151",-0.944
"21179",-0.457
"21189",-0.928
"21195",-0.932
"21217",-0.552
"21239",-0.651
"22011",-0.894
"22013",-1.116
"22021",-1.109
"22029",-0.947
"22033",-0.803
"22069",-1.073
"22075",-0.669
"22077",-0.94
"22083",-1.122
"22087",-0.724
"22099",-0.801
"23015",7.31
"24003",0.853
"24033",1.596
"24043",2.704
"25011",2.784
"25017",5.466
"26099",1.065
"26135",-0.354
"26147",0.971
"26153",-0.815
"27053",-0.105
"27077",-1.107
"27089",-1.147
"27101",-1.012
"27129",-0.584
"27139",-0.105
"28007",-1.066
"28105",-1.05
"28143",-0.983
"28163",-1.122
"29023",-1.077
"29029",-0.896
"29031",-0.965
"29033",-0.804
"29157",-0.619
"29189",-0.631
"29199",-0.738
"29207",-1.007
"30013",0.17
"30015",0.17
"30023",0.359
"30029",0.31
"30047",0.31
"30057",0.294
"30077",0.251
"30087",-1.131
"30105",-0.955
"31059",0.029
"31113",-1.088
"31171",-1.088
"34007",0.893
"34013",1.622
"34019",1.297
"34023",1.387
"34041",1.648
"35021",-0.918
"35051",-0.871
"36013",1.165
"36019",3.445
"36029",1.196
"36043",2.867
"36053",1.929
"36065",2.169
"36077",2.051
"36081",1.699
"36115",3.688
"37027",0.228
"37055",-0.457
"37059",0.986
"37069",0.005
"37083",-0.266
"37087",-0.088
"37093",0.993
"37111",-0.062
"37121",-0.063
"37127",-0.367
"37155",1.068
"37175",-0.099
"37199",-0.017
"38037",-0.517
"38085",-0.555
"38099",-1.104
"38105",-0.497
"39035",0.843
"39039",0.221
"39043",1.132
"39125",0.137
"40065",-1.165
"40079",-0.389
"40145",-0.119
"41005",0.939
"41021",0.634
"41035",0.865
"41039",0.798
"41043",0.947
"41045",-0.456
"41051",1.263
"41055",0.869
"42035",1.946
"42059",-0.34
"42063",1.681
"42067",2.182
"42091",1.304
"42111",1.596
"45005",-0.659
"45021",0.327
"45025",0.865
"45045",-0.158
"45049",-0.659
"45053",-0.659
"45063",-0.689
"45091",0.691
"46093",-0.717
"46095",-1.198
"46103",-0.717
"47005",-0.887
"47013",-0.887
"47019",0.098
"47029",-0.364
"47033",-1.063
"47049",-0.824
"47081",-0.783
"47097",-1.119
"47121",-0.423
"47149",-0.615
"47159",-0.831
"48007",-0.437
"48025",-0.608
"48035",-0.408
"48067",-0.574
"48083",-1.1
"48091",-0.672
"48103",-1.116
"48139",-0.297
"48151",-1.116
"48167",-0.781
"48213",-0.265
"48241",-0.811
"48245",-0.675
"48261",-0.633
"48333",-0.685
"48347",-0.667
"48361",-0.722
"48371",-1.159
"48403",-0.992
"48427",-0.721
"48457",-0.716
"48469",-0.347
"48471",-0.708
"48475",-1.133
"48477",-0.496
"48479",-0.721
"48499",-0.342
"49001",5.654
"49003",-0.547
"49025",5.84
"49029",-0.54
"49035",-0.631
"49043",-0.306
"51001",-0.182
"51015",2.999
"51037",-0.092
"51053",-0.465
"51069",5.133
"51109",2.823
"51125",2.708
"51145",2.823
"51161",-0.391
"51185",-0.324
"51790",2.999
"53005",0.826
"53007",1.103
"53009",1.84
"53015",1.382
"53037",1.349
"53043",0.61
"53065",0.733
"54005",-0.73
"54017",-0.598
"54039",-0.912
"54045",-0.622
"54047",-0.425
"54067",-0.718
"54081",-0.558
"54107",0.095
"55113",-0.185
"56029",0.235
"56039",0.359
"56045",-1.172
"60010",0.681
"60020",0.671
"69100",-0.366
"69110",-0.366
"69120",-0.366
"72023",-1.206
"72037",-1.206
"72039",-1.206
"72053",-1.206
"72113",-1.206
"72115",-1.206
"78010",-1.206
"78020",-1.206
"01049",-0.311
"01069",-0.606
"01087",-0.838
"01091",-0.928
"01095",-0.556
"01101",-0.844
"01115",-0.574
"01119",-0.904
"01121",-0.567
"01131",-0.754
"02105",0.747
"02240",0.728
"04005",5.468
"04009",5.55
"04012",6.118
"04013",5.847
"04027",0.122
"05003",-1.143
"05007",0.062
"05061",-0.921
"05075",-0.988
"05093",-1.119
"05095",-0.896
"05103",-1.063
"05117",-0.924
"05131",-0.425
"05133",-0.981
"05147",-0.909
"06045",0.748
"06051",0.565
"06065",0.283
"06069",0.893
"06079",0.921
"06083",0.921
"06101",0.607
"06107",0.889
"08019",0.435
"08023",-0.133
"08031",0.311
"08055",0.028
"19027",-0.648
"19075",-0.947
"19137",0.187
"19157",-0.76
"19163",-0.514
"20017",-0.441
"20055",-1.144
"20143",-0.838
"21005",-0.421
"21011",-0.928
"21025",-0.954
"21029",-0.506
"21043",-1.104
"21049",-0.95
"21071",-1.011
"21085",-0.77
"21095",-0.93
"21105",-1.046
"21109",-1.056
"21119",-0.993
"21121",-0.939
"21135",-0.94
"21153",-0.978
"21159",-0.934
"21167",-0.592
"21177",-0.953
"21181",-0.857
"21193",-0.936
"21231",-0.966
"22035",-1.122
"22039",-0.934
"22053",-0.911
"22055",-0.778
"22067",-1.084
"22079",-0.973
"22103",-0.724
"22111",-1.141
"22127",-1.12
"23007",7.31
"23017",7.378
"23027",7.31
"23031",6.961
"24001",4.556
"24005",2.058
"24017",3.523
"24021",2.643
"24031",1.733
"24041",0.903
"24045",0.573
"25005",3.412
"25023",7.256
"25025",7.442
"26033",-0.7
"26063",-0.024
"26083",-0.489
"26097",-0.888
"26115",0.937
"08093",0.435
"08105",6.194
"08113",5.839
"09001",1.889
"09007",2.802
"10005",0.923
"12001",-0.238
"12017",-0.158
"12033",-0.508
"12041",-0.275
"12047",-0.585
"12071",0.067
"12086",0.067
"12093",0.067
"12097",0.067
"13021",-0.869
"13029",-0.713
"13039",-0.617
"13051",-0.713
"13077",-0.44
"13133",-0.649
"13137",-0.155
"13143",-0.278
"13157",-0.243
"13163",-0.951
"13171",-0.652
"13181",-0.691
"13185",-0.775
"13195",-0.555
"13221",-0.6
"13237",-0.745
"13245",-0.882
"13251",-0.721
"13269",-0.837
"13283",-0.933
"51007",-0.286
"13303",-0.941
"13309",-0.921
"13313",-0.177
"13317",-0.667
"15001",0.889
"16005",-0.227
"16073",-0.758
"16077",-0.164
"16081",0.422
"16083",-0.684
"17017",-0.598
"17027",-0.394
"17047",-0.53
"17109",-0.748
"17129",-0.57
"17175",-0.523
"17185",-0.53
"18009",-0.151
"18035",-0.219
"18067",-0.434
"18083",-0.312
"18159",-0.461
"18179",0.166
"35055",5.174
"36025",1.292
"36105",1.534
"36119",1.826
"36123",1.43
"37013",-0.469
"37017",0.936
"37023",-0.071
"37057",0.915
"37061",0.36
"37065",-0.399
"37075",-0.066
"37085",0.757
"37089",0.04
"37119",0.711
"37129",0.575
"37133",-0.24
"37137",-0.345
"37143",-0.657
"37149",0.068
"37153",0.82
"37161",0.129
"37167",0.939
"38005",-0.496
"38033",-0.497
"38053",-0.497
"38059",-0.497
"38067",-1.104
"38071",-0.977
"38077",0.336
"39061",-0.384
"39095",0.745
"39137",0.393
"39175",1.552
"40013",-0.055
"40027",-0.655
"40057",-1.165
"40067",-0.825
"40075",-1.049
"40087",-0.632
"40095",-0.353
"40125",-0.564
"40135",-0.292
"27011",0.362
"27027",0.336
"27031",-0.828
"27061",-0.967
"27073",0.373
"27075",-0.683
"27085",-0.488
"27097",-0.634
"27127",-0.745
"27171",-0.182
"28011",-1.069
"28029",-0.964
"28039",-0.769
"28055",-1.122
"28083",-1.084
"28087",-1.073
"28103",-1.013
"28121",-0.997
"28141",-0.965
"28149",-1.122
"28151",-1.084
"29041",-0.997
"29069",-1.072
"29099",-0.578
"29113",-0.795
"29159",-0.76
"29183",-0.517
"29195",-0.804
"29201",-1.058
"30011",-0.515
"30027",0.126
"30031",0.294
"30045",0.26
"30049",0.288
"30055",-0.955
"30059",0.338
"30073",0.323
"30085",-0.941
"30099",0.288
"31069",-1.071
"31103",-1.206
"31151",0.32
"32001",0.108
"32015",-0.46
"32027",-0.093
"33007",7.361
"33015",7.49
"33017",6.953
"34001",0.994
"34015",0.9
"34021",1.364
"34029",1.276
"35031",5.315
"35039",5.723
"48425",-0.361
"48443",-1.177
"48449",-0.417
"48453",-0.541
"48459",-0.467
"48473",-0.544
"48491",-0.477
"49045",-0.616
"49047",6.168
"49051",-0.474
"50017",5.083
"51003",3.202
"51009",2.675
"51017",2.841
"51023",-0.526
"51033",3.582
"51047",4.724
"51073",-0.358
"51077",-0.19
"51095",-0.22
"51097",-0.149
"51107",5.22
"51111",-0.164
"51121",-0.391
"51127",-0.29
"51139",4.598
"51163",2.564
"51175",-0.514
"51179",3.77
"51191",-0.302
"51195",-0.807
"53049",1.972
"53057",1.289
"53061",1.31
"53077",1.489
"54003",5.634
"54007",-0.717
"54019",-0.388
"54027",4.816
"54037",5.307
"54041",-0.314
"54043",-0.953
"54057",4.373
"54065",5.547
"54071",2.878
"54075",-0.271
"54093",3.954
"54099",-1.061
"55007",-0.284
"55023",-0.116
"55051",-0.14
"55057",0.755
"55107",-0.136
"55121",0.574
"56003",-0.55
"56013",-0.712
"01041",-0.625
"01071",-0.367
"02100",0.747
"04001",5.542
"05001",-0.999
"05017",-1.084
"05029",-0.711
"05041",-1.058
"05145",-0.811
"06007",0.617
"06095",0.788
"08035",0.435
"08051",6.384
"12079",-0.671
"12125",-0.359
"13001",-0.808
"13049",-0.566
"13079",-0.797
"13107",-0.798
"41007",1.301
"41017",0.771
"41019",0.942
"42003",0.411
"42033",1.474
"42041",2.87
"42045",0.902
"42051",0.475
"42061",2.428
"42071",1.529
"42089",1.657
"42099",2.26
"42127",1.783
"42133",2.856
"44009",3.056
"45003",-0.824
"45007",-0.481
"45017",-0.128
"45035",-0.239
"45041",0.74
"45051",0.82
"45055",0.728
"45069",0.786
"45073",-0.174
"45079",-0.229
"45083",0.142
"46009",-1.019
"46041",-0.703
"46057",0.326
"46075",-0.717
"46127",-0.645
"47003",-0.534
"47021",-0.822
"47031",-0.427
"47035",-0.719
"47037",-0.765
"47059",-0.307
"47065",-0.261
"47089",-0.426
"47107",-0.409
"47123",-0.378
"47127",-0.502
"47143",-0.484
"47155",-0.336
"47157",-1.08
"47165",-0.887
"47185",-0.738
"47189",-0.749
"48005",-0.455
"48029",-0.65
"48033",-1.116
"48037",-0.563
"48051",-0.496
"48061",-0.605
"48087",-1.154
"48105",-1.159
"48119",-0.369
"48185",-0.663
"48211",-1.194
"48223",-0.356
"48225",-0.522
"48229",-1.069
"48239",-0.404
"48263",-1.126
"48311",-0.662
"48315",-0.574
"48321",-0.459
"48339",-0.71
"48349",-0.307
"48373",-0.716
"48377",-1.102
"48383",-1.159
"48407",-0.753
"55001",0.713
"55029",0.049
"56025",-0.781
"72097",-1.206
"72141",-1.206
"72151",-1.206
"02195",1.06
"05081",-0.917
"06009",0.654
"08097",6.476
"13127",-0.642
"16049",0.434
"18125",-0.465
"21055",-0.998
"22017",-1.088
"29019",-0.868
