county_code,score
"01005",-4.672
"01023",-5.409
"01035",-5.97
"01051",-5.868
"01065",-6.598
"01109",-4.943
"01113",-3.972
"01117",-5.946
"02016",-2.187
"04015",2.737
"05011",-6.202
"05015",-1.274
"05019",-5.651
"05025",-6.793
"05063",-5.252
"05067",-5.528
"05091",-3.327
"05139",-6.41
"06001",2.136
"06003",1.913
"06023",2.93
"06033",2.387
"06037",3.316
"06057",1.683
"06081",2.545
"06085",2.003
"06115",2.023
"08013",-2.55
"08029",-2.837
"08059",-3.983
"08091",-2.467
"09009",2.756
"11001",2.954
"12009",0.309
"12039",-2.282
"12055",0.282
"12065",-2.513
"12073",-2.098
"12107",0.261
"12117",0.2
"12123",-1.915
"12133",-3.561
"13009",-2.735
"13013",1.226
"13027",-2.693
"13073",-2.029
"13103",-2.287
"13149",-2.605
"13179",-1.958
"13189",-2.16
"13205",-3.193
"13229",-2.403
"13267",-2.343
"13291",2.997
"13305",-1.82
"13319",-3.376
"15007",1.178
"16015",3.374
"16025",5.095
"16033",4.885
"16039",4.274
"16041",9.693
"16043",4.729
"16061",2.219
"16085",2.395
"17003",-1.908
"17031",2.917
"17043",3.164
"17097",3.627
"17115",1.681
"17161",2.505
"17197",3.176
"18027",1.565
"18061",2.482
"18123",0.855
"18147",0.295
"18157",2.953
"19041",2.076
"19045",3.048
"19111",0.785
"19135",2.081
"20025",-4.507
"20067",-6.666
"20095",-2.487
"20199",-6.168
"21007",-2.132
"21017",-0.706
"21031",0.139
"21065",-1.978
"21069",-0.989
"21099",0.673
"21125",-0.998
"21127",-1.711
"21131",-1.137
"21151",-1.208
"21179",2.102
"21189",-1.687
"21195",-1.457
"21217",1.22
"21239",0.342
"22011",-1.732
"22013",-3.673
"22021",-4.955
"22029",-4.202
"22033",-3.47
"22069",-2.425
"22075",-3.327
"22077",-3.694
"22083",-5.315
"22087",-3.446
"22099",-2.846
"23015",6.415
"24003",2.997
"24033",3.005
"24043",2.277
"25011",4.53
"25017",5.218
"26099",4.113
"26135",2.985
"26147",3.918
"26153",1.99
"27053",5.56
"27077",1.31
"27089",0.518
"27101",1.761
"27129",3.187
"27139",4.575
"28007",-4.463
"28105",-4.991
"28143",-5.419
"28163",-4.926
"29023",-3.252
"29029",1.963
"29031",-1.833
"29033",0.505
"29157",-0.92
"29189",0.37
"29199",1.054
"29207",-3.187
"30013",0.814
"30015",0.392
"30023",1.389
"30029",-0.223
"30047",0.01
"30057",3.713
"30077",0.916
"30087",-0.749
"30105",-3.889
"31059",-1.136
"31113",-4.449
"31171",-4.005
"34007",1.262
"34013",1.377
"34019",1.116
"34023",1.065
"34041",1.51
"35021",-3.298
"35051",0.362
"36013",2.013
"36019",5.005
"36029",2.224
"36043",4.366
"36053",2.136
"36065",3.264
"36077",2.263
"36081",1.708
"36115",5.069
"37027",1.11
"37055",1.088
"37059",1.598
"37069",-0.023
"37083",-0.666
"37087",2.596
"37093",0.514
"37111",1.286
"37121",0.912
"37127",-0.374
"37155",0.535
"37175",2.828
"37199",0.818
"38037",-4.576
"38085",-4.764
"38099",-1.521
"38105",-5.328
"39035",1.567
"39039",3.884
"39043",2.795
"39125",3.323
"40065",-4.619
"40079",-3.06
"40145",0.554
